bike_station,bike_lat,bike_lon,tram_stop,tram_lat,tram_lon,tram_line,distance_km,distance_m,walkable_5min,walkable_10min
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Rondelet,43.6030665,3.8761818,42125,0.4777727878187843,477.7727878187843,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Nouveau Saint-Roch,43.5994208,3.8756775,42123,0.7942969271610005,794.2969271610006,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Gare Saint-Roch République,43.6051723,3.8797962,43231,0.11664461264099898,116.64461264099899,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Observatoire,43.606427,3.8766896,43233,0.38551002550603075,385.51002550603073,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Nouveau Saint-Roch,43.5992903,3.8756446,42247,0.8078047594666518,807.8047594666517,False,False
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Rondelet,43.6031345,3.8759259,42245,0.49162857512405067,491.62857512405066,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Observatoire,43.6063438,3.8768143,43125,0.37309221171562673,373.0922117156267,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Gambetta,43.6055891,3.8739545,43123,0.5864866475998859,586.4866475998859,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Gambetta - Chaptal,43.6062372,3.8727299,43235,0.691821211518945,691.821211518945,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Gare Saint-Roch République,43.6052424,3.8797132,43127,0.1224276507815207,122.4276507815207,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Comédie,43.6083781,3.8798137,41223,0.3580822673863649,358.0822673863649,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Gare Saint-Roch,43.6056635,3.8802526,41221,0.08717722585696117,87.17722585696117,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Corum,43.6141886,3.881667,41225,0.9861835254297896,986.1835254297896,False,False
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Du Guesclin,43.6071804,3.8833017,41138,0.2653119440914271,265.3119440914271,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Antigone,43.6084999,3.8866241,41217,0.5597071981506273,559.7071981506273,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Du Guesclin,43.6070636,3.8831972,41218,0.24992815702781473,249.92815702781473,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Léon Blum,43.6089494,3.8900989,41215,0.8199808638871455,819.9808638871456,False,False
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Place Carnot,43.6037618,3.8842324,42241,0.2978091251038286,297.8091251038286,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Voltaire,43.6037185,3.8889694,42239,0.6483162010440395,648.3162010440395,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Place Carnot,43.6037042,3.8842576,Unknown,0.30322220790218013,303.2222079021801,True,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Saint-Guilhem - Courreau,43.6081132,3.8735064,44204,0.6948088650618003,694.8088650618002,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Saint-Guilhem - Courreau,43.6081284,3.8735437,44104,0.6928810303227169,692.8810303227168,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Peyrou - Arc de Triomphe,43.611415,3.8722575,44203,0.9901112231809592,990.1112231809592,False,False
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Parc Clemenceau,43.6031532,3.8717667,Unknown,0.799288257729929,799.288257729929,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Parc Clemenceau,43.6033971,3.8721461,Unknown,0.7621522835009902,762.1522835009902,False,True
Rue Jules Ferry - Gare Saint-Roch,43.6053253,3.8812294,Gambetta - Saint-Denis,43.6050726,3.8745319,Unknown,0.5399960405286781,539.9960405286781,False,True
Foch,43.6109947,3.8733344,Corum,43.6142561,3.881957,41131,0.7832019441082516,783.2019441082516,False,True
Foch,43.6109947,3.8733344,Louis Blanc - Agora de la Danse,43.6147274,3.8782032,41129,0.5708897229309872,570.8897229309872,False,True
Foch,43.6109947,3.8733344,Stade Philippidès,43.6189067,3.8694871,41125,0.9327012620771945,932.7012620771945,False,False
Foch,43.6109947,3.8733344,Comédie,43.6084079,3.8797702,41133,0.5926382623800179,592.638262380018,False,True
Foch,43.6109947,3.8733344,Gare Saint-Roch,43.6056584,3.8801992,41135,0.8109078705148353,810.9078705148353,False,False
Foch,43.6109947,3.8733344,Albert 1er - Saint-Charles,43.6164538,3.8741502,41127,0.610566815068391,610.566815068391,False,True
Foch,43.6109947,3.8733344,Corum,43.6144182,3.8818054,42141,0.7810290393918226,781.0290393918226,False,True
Foch,43.6109947,3.8733344,Rondelet,43.6030665,3.8761818,42125,0.9108977780225908,910.8977780225907,False,False
Foch,43.6109947,3.8733344,Gare Saint-Roch République,43.6051723,3.8797962,43231,0.8305579606595588,830.5579606595588,False,False
