metric,value
accuracy_loo,0.5777777777777777
balanced_accuracy_loo,0.16326530612244897
f1_macro_loo,0.1526610644257703
f1_weighted_loo,0.4871459694989107
cohen_kappa_loo,0.036076662908680834
mcc_loo,0.04578985460728282
