Méthode,Paramètre,ARI,NMI,Nb_clusters
Louvain,resolution=1.0,0.05356213110952629,0.3121911177316801,3
Louvain,resolution=1.5,0.025705809711714524,0.3339057861689287,9
Louvain,resolution=2.0,0.00509499847440635,0.3826106320078015,17
Louvain,resolution=0.5,0.0,0.0,1
Spectral,k=5,0.06351290362286137,0.33469506510642605,5
Spectral,k=8,0.06348242947845589,0.39537274139235346,8
Spectral,k=6,0.056759748357175885,0.3527241336114573,6
Spectral,k=9,0.0549183473329638,0.37707813379855876,9
Spectral,k=7,0.019751142209166905,0.34549128070614415,7
