train_year,test_year,n_common_stations,accuracy,balanced_accuracy,f1_macro
2021,2022,42,0.5238095238095238,0.1901098901098901,0.14880952380952378
2022,2023,43,0.3953488372093023,0.12362637362637363,0.1164021164021164
2023,2024,45,0.5555555555555556,0.14625850340136054,0.1396103896103896
