Cluster,Typologie,N,IMD moy.,Revenu moy. (€),Chômage moy. (%),IES moy.
0,C0 - Villes Fragiles,49,0.383,18340.816,13.331,0.965
1,C1 - Villes Moyennes,13,0.512,21846.154,9.731,1.133
