weekday,rugosite_moy,volume
0,1.4095386143535709,58237
1,1.4118810595870812,63500
2,1.4091965053621853,65200
3,1.4063154062823773,67332
4,1.3999272195917363,71712
5,1.4043228863898298,63624
6,1.408071551441596,59850
