departure_station,return_station,dep_quartier,ret_quartier,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_lat,dep_lon,ret_lat,ret_lon
Nombre d'Or,Port Marianne,Centre,Port Marianne,1252,2438.610234839859,3116.122000012629,1.2778269997777083,0.0,13.756120569055756,43.6079002,3.8866534,43.6059165,3.9168169
Nombre d'Or,Hôtel de Ville,Centre,Prés d'Arènes,1204,1316.66750236921,2280.098899180484,1.731719583780777,0.0,10.065496590432248,43.6079002,3.8866534,43.5985194,3.8966319
Occitanie,Corum,Hôpitaux-Facultés,Centre,1200,3489.057852674705,4012.063964536991,1.1498989509335165,0.0,17.71125637144855,43.6343515,3.8486697,43.6141888,3.8818829
Port Marianne,Nombre d'Or,Port Marianne,Centre,1186,2438.610234839859,3061.093426715353,1.2552614530121382,2.91206169128418,16.08425619946973,43.6059165,3.9168169,43.6079002,3.8866534
Boutonnet,Fac de Lettres,Centre,Hôpitaux-Facultés,1180,1706.9184201351848,2211.8232146133164,1.2957990191693778,27.94387435913086,34.435740252587124,43.6199984,3.8678033,43.6353331,3.8687709
Port Marianne,Pérols Etang de l'Or,Port Marianne,,1174,6532.146382519086,8442.732286105696,1.2924897563072988,0.0,37.2704416770136,43.6059165,3.9168169,43.5579564,3.9636474
Rue Jules Ferry - Gare Saint-Roch,Médiathèque Emile Zola,Centre,Centre,1157,1006.116625351154,1310.576925727452,1.302609352340277,0.0,5.785541838623837,43.6053253,3.8812294,43.6082468,3.8930561
Hôtel de Ville,Garcia Lorca,Prés d'Arènes,Prés d'Arènes,1132,1421.643646775961,2359.282206265551,1.6595454223820365,2.74477767944336,12.838415512739818,43.5985194,3.8966319,43.5877543,3.8871086
Corum,FacdesSciences,Centre,Hôpitaux-Facultés,1117,2611.105891637289,3119.3115017590853,1.1946323248511104,26.066898345947266,36.78466517415232,43.6141888,3.8818829,43.633469,3.863365
Foch,Place Viala,Centre,Les Cévennes,1044,1605.5447499338188,1782.5329369119142,1.1102355988429415,0.0,7.868991649997646,43.6109947,3.8733344,43.6168167,3.8550842
