city,IMD,gap_IMD,bottleneck,stations_needed,C1_S,C2_E,C3_D,C4_P,C5_M
Chantrerie,0.3279,0.37209999999999993,Densité D,219,0.1825,0.827,0.11714063574673426,,0.3333333333333333
Avignon,0.3276,0.37239999999999995,Offre/hab. P,278,0.215,0.8289,0.3296876295113919,0.18184584441241156,0.3333333333333333
Laon,0.3276,0.37239999999999995,Multi-modal M,438,0.1427,0.7664,0.21114384890951474,0.3823129538963231,0.3333333333333333
Pointe-à-Pitre,0.3247,0.37529999999999997,Densité D,675,0.0998,0.8198,0.13712689199304418,0.42511827869977603,0.3333333333333333
Royan,0.322,0.37799999999999995,Multi-modal M,227,0.1291,1.0,0.1706111466548539,0.23764493624464508,0.3333333333333333
Annecy,0.3089,0.39109999999999995,Couverture S,11533,0.0581,0.9089,0.0912075383384135,0.3243278299395729,0.3333333333333333
Ardenne Métropole,0.3072,0.3928,Densité D,3506,0.0686,0.8405,0.07510557228079945,0.34024114008258494,0.3333333333333333
Saint-Étienne,0.3023,0.39769999999999994,Couverture S,7616,0.0785,0.7724,0.13219093603862173,0.2982523375363136,0.3333333333333333
Cherbourg-en-Cotentin,0.2997,0.40029999999999993,Densité D,3378,0.0837,0.7002,0.09648244808656922,0.326362993911077,0.3333333333333333
La Réunion,0.2884,0.41159999999999997,Densité D,1482,0.1002,0.7958,0.10689834511130472,0.14463690336962898,0.3333333333333333
Tarbes,0.2792,0.42079999999999995,Densité D,1310,0.0694,0.722,0.04157781001074054,0.18625684685755547,0.3333333333333333
Saint-Nazaire,0.2725,0.42749999999999994,Densité D,3510,0.0264,0.9892,0.029982688421785232,0.04540526832968368,0.3333333333333333
Châtellerault,0.2624,0.43759999999999993,Offre/hab. P,0,0.0097,0.9793,0.012169174141170096,0.0,0.3333333333333333
Montreuil-Bellay,0.2459,0.45409999999999995,Offre/hab. P,0,0.007,0.7209,0.0472943462331374,0.0,0.3333333333333333
