row_id,station_id,system_id,system_name,city,station_name,lat,lon,capacity,is_virtual_station_hint,label
349,evry_parking_22_rue_Jean_Mermoz_zidBXANRJCL,pony_Evry,Pony Evry,Evry,evry_parking_22_rue_Jean_Mermoz_zidBXANRJCL,48.62731,2.4096,,True,
350,a0daeb32-5e8f-430c-9c92-6dfe6d2b36a8,bird-bordeaux,Bird Bordeaux,Bordeaux,"66 Rue Bonnefin, 33100 Bordeaux, France",44.84288,-0.54952,,True,
351,e88a7d42-1705-4094-b343-93e48285c3a0,dott-paris,Dott Paris,Paris,id_old029703D20111207114920,48.8854,2.29872,,True,
352,bordeaux_parking_Arceau_15457_zid83WZB3PM,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_15457_zid83WZB3PM,44.82969,-0.58366,,True,
353,cirqbskg3q5td18hqqmg,velozef,VéloZef,Brest,Saint-Pierre,48.3797,-4.53644,10.0,False,
354,paris_parking_BOURGOGNE_zidM3CGOEZB,pony_paris,Pony Paris,Paris,paris_parking_BOURGOGNE_zidM3CGOEZB,48.85852,2.31784,2.0,True,
355,365,citiz_metropole_lyon,Citiz Métropole Lyon,Lyon,Lyon 3ème - Parking LPA La Fosse aux Ours,45.75692,4.84048,4.0,False,
356,126,nantes,Naolib,Nantes,GARE DE CHANTENAY,47.19773,-1.59489,16.0,False,
357,paris_parking_BEAUJOLAIS_zid41XMY3GM,pony_paris,Pony Paris,Paris,paris_parking_BEAUJOLAIS_zid41XMY3GM,48.86612,2.3387,1.0,True,
358,dc1326b7-9e29-4e1f-ac16-d8ce6c28a8ec,dott-paris,Dott Paris,Paris,id_42675,48.88027,2.39875,,True,
359,bordeaux_parking_Arceau_11094_zidXM8GO78N,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_11094_zidXM8GO78N,44.85811,-0.56481,,True,
360,538306450,nextbike_ah,VélO2,FR,Tribunal,49.05178,2.09877,14.0,False,
361,stn_8zumLWVB67cFhznaPaAdW2,tanlib,Vélo Tanlib,Niort,DENFERT ROCHEREAU,46.33003,-0.45972,14.0,False,
362,6d324309-9cf9-4331-8a09-0a0f3400d330,dott-lyon,Dott Lyon,Lyon,Rue Julie,45.75173,4.88684,,True,
363,poitiers_parking_Mignaloux_Gare_zidB1OVDOAR,pony_poitiers,Pony Poitiers,Poitiers,poitiers_parking_Mignaloux_Gare_zidB1OVDOAR,46.5261,0.4114,,True,
364,ce4bhh12rcd13ifvqff0,levelo_inurba_marseille,levélo - Marseille,Marseille,Escale Borély,43.25495,5.37645,60.0,False,
365,206,velo-tbm-bordeaux,Le Vélo par TBM,Bordeaux,Caillou,44.86032,-0.63415,20.0,False,
366,311552027,Paris,Vélib' Metropole,Paris,Temple - Charlot,48.86571,2.36527,45.0,False,
367,5e86853c-8423-41bb-9941-7e2191ca017c,dott-paris,Dott Paris,Paris,id_old304104D20091118112528,48.86559,2.38766,,True,
368,ac8361c9-0988-449c-8864-f82193229140,dott-paris,Dott Paris,Paris,id_old582002G20140306135653,48.86829,2.33705,,True,
369,89,knot_strasbourg,Knot Strasbourg,Strasbourg,Hoenheim gare,48.62815,7.7587,8.0,True,
370,107,citiz_grand_est,Citiz Grand Est,Strasbourg,Place d'Islande (Esplanade),48.58026,7.77636,3.0,False,
371,4,v_lille,V'lille,Lille,Maison Folie Wazemmes,50.6247,3.04896,20.0,False,
372,650af48b-66dc-4a92-87a0-0094ac2071e4,dott-paris,Dott Paris,Paris,id_31131,48.84627,2.33237,,True,
373,8d56ac6c-0333-4def-bac2-c82fe5f54b38,voi_Marseille,Voi Marseille,Marseille,T07_50,43.28691,5.35189,5.0,True,
374,bordeaux_parking_Arceau_15014_zidY3DEG85O,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_15014_zidY3DEG85O,44.82122,-0.57336,,True,
375,6f656149-9e62-432c-8891-ca63b843a434,dott-bordeaux,Dott Bordeaux,Bordeaux,ARCEAU_VELO,44.86147,-0.55718,,True,
376,35089539,Paris,Vélib' Metropole,Paris,Manin - Crimée,48.88312,2.38637,23.0,False,
377,2ac9fde6-0b53-4b19-b6b9-34af63c50860,dott-paris,Dott Paris,Paris,id_19170,48.89943,2.36579,,True,
378,stn_LtDN7o64vFVMe5uhrnDj9i,tanlib,Vélo Tanlib,Niort,MUSEE,46.3211,-0.45424,7.0,False,
