code_commune,nom,population,surface_km2,M_per_km2,I_per_km2,D_log,M_z,I_z,D_z,IMD4_national,insee_part_velo
01001,L'Abergement-Clémenciat,860.0,15.645,0.0,0.0,4.006781012126708,-0.15221644000205786,-0.32446441875437054,0.1369475740791854,-0.13285554729899668,0.245098039215686
01002,L'Abergement-de-Varey,270.0,9.1901,0.0,0.0,3.3802951412971627,-0.15221644000205786,-0.32446441875437054,-0.32695018146524457,-0.16016297265644225,0.0
01004,Ambérieu-en-Bugey,15934.0,24.548,0.040736516213133456,0.6768372168812123,6.475580085413461,0.36174228447903,0.6121287811859217,1.9650340518658487,0.439430117838076,1.93519011423808
01005,Ambérieux-en-Dombes,1906.0,16.0397,0.0,0.0,4.777695185192582,-0.15221644000205786,-0.32446441875437054,0.7077910220393266,-0.09925274439760294,0.113415091664386
01006,Ambléon,115.0,6.0401,0.0,0.0,2.9465115602621896,-0.15221644000205786,-0.32446441875437054,-0.6481565150856569,-0.17907084163154466,0.0
01007,Ambronay,2841.0,33.7053,0.029668924471818972,0.08672226623112686,4.4342562868318325,0.22210625608911308,-0.20445995858335114,0.45348275822286893,0.18484344582614115,0.708250369076894
01008,Ambutrix,760.0,5.1827,0.0,0.026241148436143325,4.987992277283798,-0.15221644000205786,-0.2881524657900153,0.863510972897051,-0.08754354131026096,1.6254727506998
01009,Andert-et-Condon,348.0,7.0067,0.0,0.001998087544778569,3.905335645631166,-0.15221644000205786,-0.32169950695482713,0.06182971425363122,-0.13708376263380465,0.587412121111739
01010,Anglefort,1174.0,29.5554,0.0,0.04554159307605379,3.6819055321143073,-0.15221644000205786,-0.2614449137306599,-0.10361492385810164,-0.1426034039954761,1.13759235826504
01011,Apremont,415.0,15.0723,0.0,0.3861388109313111,3.3154198981361835,-0.15221644000205786,0.20986640043101726,-0.37498874241942415,-0.12557461637575998,0.0
01012,Aranc,331.0,21.7131,0.0,0.0,2.7242026103401793,-0.15221644000205786,-0.32446441875437054,-0.81277095845643,-0.18876090063997697,0.692390026031955
01013,Arandas,138.0,14.0534,0.0,0.0,2.2843893257704426,-0.15221644000205786,-0.32446441875437054,-1.138442142868563,-0.20793159386518584,0.0
01014,Arbent,3555.0,23.6687,0.0,0.1076527227942388,5.011956842061703,-0.15221644000205786,-0.1754968300795934,0.881256158113038,-0.07861033293745023,0.618836097359626
01015,Arboys en Bugey,710.0,22.605300000000003,0.0,0.04087536993536914,3.447080577976724,-0.15221644000205786,-0.2679019358239593,-0.2774971680434421,-0.15329116238928106,2.04183773172069
01016,Arbigny,462.0,17.543599999999998,0.0,0.0,3.270875680043673,-0.15221644000205786,-0.32446441875437054,-0.40797266712986574,-0.16493237594222607,0.976753240061709
01017,Argis,419.0,7.819,0.0,0.0,3.9813142507797608,-0.15221644000205786,-0.32446441875437054,0.11809004834729427,-0.13396559896489746,1.24223602484472
01019,Armix,25.0,6.9688,0.0,0.0,1.2774327813456556,-0.15221644000205786,-0.32446441875437054,-1.8840693032559195,-0.2518230716389164,0.0
01021,Ars-sur-Formans,1528.0,5.5198,0.0,0.0,5.62337334197791,-0.15221644000205786,-0.32446441875437054,1.3339954060682906,-0.06239110997277687,0.87475096419767
01022,Artemare,1139.0,3.3229,0.0,0.08366186162689218,5.837068067816734,-0.15221644000205786,-0.2086948825353761,1.4922312231938213,-0.044969846339417835,1.32743362831858
01023,Asnières-sur-Saône,78.0,4.6677,0.0,0.0,2.816042381682702,-0.15221644000205786,-0.32446441875437054,-0.744765811366526,-0.18475776534586408,0.0
01024,Attignat,3409.0,18.9431,0.0,0.5164941324281664,5.192734523010816,-0.15221644000205786,0.3902493708778279,1.015117693304209,-0.03111455366968653,0.918533088420008
01025,Bâgé-Dommartin,4050.0,57.011,0.0,0.03732613004507902,4.263227928428613,-0.15221644000205786,-0.27281329983186664,0.32684036245319836,-0.11806063920490807,0.215274924668828
01026,Bâgé-le-Châtel,971.0,0.8764,0.0,0.0,7.010259139552151,-0.15221644000205786,-0.32446441875437054,2.3609510624492254,-0.00193917935475299,0.242196285047713
01027,Balan,3077.0,17.9948,0.0,0.324760486362727,5.1416275480512,-0.15221644000205786,0.12493235723588195,0.9772742045994465,-0.051920862238123706,1.65463416685508
01028,Baneins,621.0,9.0701,0.0,0.0,4.226347792508888,-0.15221644000205786,-0.32446441875437054,0.29953150670090545,-0.1232850146733816,0.355172925953024
01029,Beaupont,734.0,14.1551,0.0,0.0,3.9484340454341376,-0.15221644000205786,-0.32446441875437054,0.09374304521140929,-0.13539878971191974,1.14456736313471
01030,Beauregard,872.0,0.9818,0.0,1.5868812385414546,6.789157081267164,-0.15221644000205786,1.8714286853206086,2.197230293377697,0.14218930002245678,0.573377745134382
01031,Bellignat,3525.0,7.819400000000001,0.12788705015730106,1.5103460623577256,6.111027889975476,1.46129083275055,1.7655209075240261,1.6950918981528746,1.3581086584026079,3.08584191920327
