departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,149,0.2018970189701897
001 Rue Jules Ferry - Gare Saint-Roch,002 Com̩die,16,0.02168021680216802
001 Rue Jules Ferry - Gare Saint-Roch,003 Esplanade,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,004 H̫tel de Ville,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,005 Corum,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,007 Foch,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,008 Halles Castellane,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,010 Rondelet,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,17,0.023035230352303523
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,12,0.016260162601626018
001 Rue Jules Ferry - Gare Saint-Roch,013 Emile Combes,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,014 Beaux-Arts,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,015 Les Aubes,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,19,0.025745257452574527
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,21,0.028455284552845527
001 Rue Jules Ferry - Gare Saint-Roch,018 Nombre d'Or,48,0.06504065040650407
001 Rue Jules Ferry - Gare Saint-Roch,019 Louis Blanc,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,020 Gambetta,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,021 Port Marianne,20,0.02710027100271003
001 Rue Jules Ferry - Gare Saint-Roch,022 Clemenceau,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,024 Cit̩ Mion,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,026 Renouvier,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,027 Odysseum,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,028 Saint-Denis,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,15,0.02032520325203252
001 Rue Jules Ferry - Gare Saint-Roch,030 Charles Flahault,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,031 Voltaire,32,0.04336043360433604
001 Rue Jules Ferry - Gare Saint-Roch,032 Pr̩s d'Ar̬nes,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,033 Garcia Lorca,12,0.016260162601626018
001 Rue Jules Ferry - Gare Saint-Roch,034 Vert Bois,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,036 Occitanie,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,037 FacdesSciences,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,038 Fac de Lettres,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,039 Aiguelongue,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,040 Jeu de Mail des Abb̩s,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,041 Eurom̩decine,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,043 Sabines,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,045 Jardin de la Lironde,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,046 P̬re Soulas,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,047 Place Viala,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,049 Tonnelles,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,050 Parvis Jules Ferry - Gare Saint-Roch,18,0.024390243902439025
001 Rue Jules Ferry - Gare Saint-Roch,051 Pont de Lattes - Gare Saint-Roch,15,0.02032520325203252
001 Rue Jules Ferry - Gare Saint-Roch,053 Deux Ponts - Gare Saint-Roch,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,054 Providence - Ovalie,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,055 P̩rols Etang de l'Or,39,0.052845528455284556
001 Rue Jules Ferry - Gare Saint-Roch,056 Albert 1er - Cath̩drale,6,0.008130081300813009
