departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,18,0.024390243902439025
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,007 Foch,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,010 Rondelet,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,014 Beaux-Arts,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,015 Les Aubes,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,019 Louis Blanc,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,022 Clemenceau,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,027 Odysseum,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,031 Voltaire,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,032 Pr̩s d'Ar̬nes,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,033 Garcia Lorca,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,036 Occitanie,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,037 FacdesSciences,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,038 Fac de Lettres,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,041 Eurom̩decine,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,042 Marie Caizergues,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,043 Sabines,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,045 Jardin de la Lironde,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,048 H̫tel du D̩partement,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,049 Tonnelles,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,050 Parvis Jules Ferry - Gare Saint-Roch,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,051 Pont de Lattes - Gare Saint-Roch,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,053 Deux Ponts - Gare Saint-Roch,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,055 P̩rols Etang de l'Or,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,056 Albert 1er - Cath̩drale,1,0.0013550135501355014
002 Com̩die,001 Rue Jules Ferry - Gare Saint-Roch,1,0.0013550135501355014
002 Com̩die,002 Com̩die,15,0.02032520325203252
002 Com̩die,004 H̫tel de Ville,2,0.0027100271002710027
002 Com̩die,006 Place Albert 1er - St Charles,2,0.0027100271002710027
002 Com̩die,009 Observatoire,1,0.0013550135501355014
002 Com̩die,010 Rondelet,9,0.012195121951219513
002 Com̩die,011 Plan Cabanes,3,0.0040650406504065045
002 Com̩die,012 Boutonnet,2,0.0027100271002710027
002 Com̩die,015 Les Aubes,2,0.0027100271002710027
002 Com̩die,016 Antigone centre,3,0.0040650406504065045
002 Com̩die,017 M̩diath̬que Emile Zola,3,0.0040650406504065045
002 Com̩die,018 Nombre d'Or,1,0.0013550135501355014
002 Com̩die,023 Les Arceaux,3,0.0040650406504065045
002 Com̩die,026 Renouvier,2,0.0027100271002710027
