departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,119,0.16124661246612465
001 Rue Jules Ferry - Gare Saint-Roch,002 Com̩die,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,003 Esplanade,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,004 H̫tel de Ville,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,005 Corum,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,007 Foch,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,008 Halles Castellane,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,010 Rondelet,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,58,0.07859078590785908
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,11,0.014905149051490514
001 Rue Jules Ferry - Gare Saint-Roch,013 Emile Combes,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,014 Beaux-Arts,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,015 Les Aubes,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,34,0.04607046070460705
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,63,0.08536585365853659
001 Rue Jules Ferry - Gare Saint-Roch,018 Nombre d'Or,69,0.09349593495934959
001 Rue Jules Ferry - Gare Saint-Roch,019 Louis Blanc,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,020 Gambetta,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,021 Port Marianne,49,0.06639566395663957
001 Rue Jules Ferry - Gare Saint-Roch,022 Clemenceau,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,14,0.018970189701897018
001 Rue Jules Ferry - Gare Saint-Roch,024 Cit̩ Mion,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,026 Renouvier,13,0.017615176151761516
001 Rue Jules Ferry - Gare Saint-Roch,027 Odysseum,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,028 Saint-Denis,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,58,0.07859078590785908
001 Rue Jules Ferry - Gare Saint-Roch,030 Charles Flahault,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,031 Voltaire,17,0.023035230352303523
001 Rue Jules Ferry - Gare Saint-Roch,032 Pr̩s d'Ar̬nes,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,033 Garcia Lorca,37,0.05013550135501355
001 Rue Jules Ferry - Gare Saint-Roch,035 Malbosc,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,036 Occitanie,16,0.02168021680216802
001 Rue Jules Ferry - Gare Saint-Roch,037 FacdesSciences,15,0.02032520325203252
001 Rue Jules Ferry - Gare Saint-Roch,038 Fac de Lettres,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,040 Jeu de Mail des Abb̩s,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,042 Marie Caizergues,4,0.005420054200542005
