departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,110,0.14905149051490515
001 Rue Jules Ferry - Gare Saint-Roch,002 Com̩die,12,0.016260162601626018
001 Rue Jules Ferry - Gare Saint-Roch,003 Esplanade,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,004 H̫tel de Ville,48,0.06504065040650407
001 Rue Jules Ferry - Gare Saint-Roch,005 Corum,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,12,0.016260162601626018
001 Rue Jules Ferry - Gare Saint-Roch,007 Foch,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,008 Halles Castellane,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,010 Rondelet,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,21,0.028455284552845527
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,11,0.014905149051490514
001 Rue Jules Ferry - Gare Saint-Roch,014 Beaux-Arts,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,015 Les Aubes,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,23,0.03116531165311653
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,46,0.06233062330623306
001 Rue Jules Ferry - Gare Saint-Roch,018 Nombre d'Or,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,019 Louis Blanc,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,020 Gambetta,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,021 Port Marianne,47,0.06368563685636856
001 Rue Jules Ferry - Gare Saint-Roch,022 Clemenceau,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,024 Cit̩ Mion,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,17,0.023035230352303523
001 Rue Jules Ferry - Gare Saint-Roch,026 Renouvier,13,0.017615176151761516
001 Rue Jules Ferry - Gare Saint-Roch,028 Saint-Denis,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,24,0.032520325203252036
001 Rue Jules Ferry - Gare Saint-Roch,030 Charles Flahault,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,031 Voltaire,27,0.036585365853658534
001 Rue Jules Ferry - Gare Saint-Roch,032 Pr̩s d'Ar̬nes,17,0.023035230352303523
001 Rue Jules Ferry - Gare Saint-Roch,033 Garcia Lorca,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,034 Vert Bois,2,0.0027100271002710027
