departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,24,0.032520325203252036
001 Rue Jules Ferry - Gare Saint-Roch,002 Com̩die,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,004 H̫tel de Ville,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,005 Corum,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,021 Port Marianne,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,028 Saint-Denis,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,030 Charles Flahault,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,031 Voltaire,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,033 Garcia Lorca,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,034 Vert Bois,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,035 Malbosc,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,036 Occitanie,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,037 FacdesSciences,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,038 Fac de Lettres,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,039 Aiguelongue,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,042 Marie Caizergues,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,043 Sabines,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,049 Tonnelles,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,050 Parvis Jules Ferry - Gare Saint-Roch,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,051 Pont de Lattes - Gare Saint-Roch,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,057 Saint-Guilhem - Courreau,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,061 Jean de Beins,1,0.0013550135501355014
002 Com̩die,001 Rue Jules Ferry - Gare Saint-Roch,2,0.0027100271002710027
002 Com̩die,002 Com̩die,56,0.07588075880758807
002 Com̩die,004 H̫tel de Ville,2,0.0027100271002710027
002 Com̩die,005 Corum,2,0.0027100271002710027
002 Com̩die,006 Place Albert 1er - St Charles,5,0.006775067750677507
002 Com̩die,007 Foch,1,0.0013550135501355014
002 Com̩die,010 Rondelet,1,0.0013550135501355014
002 Com̩die,011 Plan Cabanes,2,0.0027100271002710027
002 Com̩die,012 Boutonnet,15,0.02032520325203252
002 Com̩die,013 Emile Combes,1,0.0013550135501355014
002 Com̩die,014 Beaux-Arts,2,0.0027100271002710027
002 Com̩die,016 Antigone centre,1,0.0013550135501355014
002 Com̩die,017 M̩diath̬que Emile Zola,8,0.01084010840108401
002 Com̩die,018 Nombre d'Or,1,0.0013550135501355014
002 Com̩die,019 Louis Blanc,6,0.008130081300813009
002 Com̩die,020 Gambetta,1,0.0013550135501355014
002 Com̩die,021 Port Marianne,4,0.005420054200542005
002 Com̩die,022 Clemenceau,1,0.0013550135501355014
002 Com̩die,024 Cit̩ Mion,1,0.0013550135501355014
002 Com̩die,026 Renouvier,1,0.0013550135501355014
002 Com̩die,027 Odysseum,6,0.008130081300813009
002 Com̩die,028 Saint-Denis,2,0.0027100271002710027
002 Com̩die,030 Charles Flahault,4,0.005420054200542005
002 Com̩die,031 Voltaire,1,0.0013550135501355014
002 Com̩die,032 Pr̩s d'Ar̬nes,2,0.0027100271002710027
002 Com̩die,035 Malbosc,4,0.005420054200542005
002 Com̩die,036 Occitanie,17,0.023035230352303523
002 Com̩die,037 FacdesSciences,7,0.009485094850948509
002 Com̩die,038 Fac de Lettres,8,0.01084010840108401
002 Com̩die,039 Aiguelongue,2,0.0027100271002710027
