departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,92,0.12466124661246612
001 Rue Jules Ferry - Gare Saint-Roch,002 Com̩die,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,003 Esplanade,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,004 H̫tel de Ville,24,0.032520325203252036
001 Rue Jules Ferry - Gare Saint-Roch,005 Corum,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,007 Foch,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,008 Halles Castellane,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,010 Rondelet,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,20,0.02710027100271003
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,21,0.028455284552845527
001 Rue Jules Ferry - Gare Saint-Roch,013 Emile Combes,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,014 Beaux-Arts,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,015 Les Aubes,17,0.023035230352303523
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,12,0.016260162601626018
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,31,0.04200542005420054
001 Rue Jules Ferry - Gare Saint-Roch,018 Nombre d'Or,13,0.017615176151761516
001 Rue Jules Ferry - Gare Saint-Roch,019 Louis Blanc,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,020 Gambetta,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,021 Port Marianne,39,0.052845528455284556
001 Rue Jules Ferry - Gare Saint-Roch,022 Clemenceau,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,024 Cit̩ Mion,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,026 Renouvier,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,027 Odysseum,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,028 Saint-Denis,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,40,0.05420054200542006
