station,mean,std,min,max,abs_mean
001 Rue Jules Ferry - Gare Saint-Roch,0.027890695573622403,0.3150964022643896,-0.8238482384823848,0.46612466124661234,0.027890695573622403
002 Com̩die,0.05075654923215895,0.8016411069274378,-1.2710027100271004,2.033875338753387,0.05075654923215895
003 Esplanade,0.021623757904245713,0.5807321321536091,-0.5298102981029811,1.7899728997289974,0.021623757904245713
004 H̫tel de Ville,-0.01840560072267389,0.31156522463561853,-0.8048780487804879,0.35907859078590787,0.01840560072267389
005 Corum,0.005307136404697381,0.3327957120245702,-0.986449864498645,0.397018970189702,0.005307136404697381
006 Place Albert 1er - St Charles,0.024390243902439056,0.2588586312423903,-0.7289972899728996,0.397018970189702,0.024390243902439056
007 Foch,0.017107046070460707,0.28426284618771297,-0.47560975609756095,1.0609756097560976,0.017107046070460707
008 Halles Castellane,0.0247289972899729,0.35722698561789207,-0.6666666666666666,1.1314363143631436,0.0247289972899729
009 Observatoire,0.014735772357723586,0.2236275075501558,-0.532520325203252,0.4227642276422765,0.014735772357723586
010 Rondelet,0.008976964769647695,0.06370733405958168,-0.13008130081300817,0.15989159891598917,0.008976964769647695
011 Plan Cabanes,0.0036133694670280095,0.16046307171500057,-0.5555555555555556,0.25338753387533863,0.0036133694670280095
012 Boutonnet,-0.011912827461607966,0.41437800069096,-0.589430894308943,1.0487804878048779,0.011912827461607966
013 Emile Combes,0.004177958446251118,0.13960094833152514,-0.4254742547425475,0.27777777777777773,0.004177958446251118
014 Beaux-Arts,-5.6458897922318646e-05,0.12834183140515804,-0.39566395663956644,0.17886178861788615,5.6458897922318646e-05
015 Les Aubes,-0.006831526648599816,0.12694656243690158,-0.2777777777777778,0.19783197831978322,0.006831526648599816
016 Antigone centre,-0.001298554652213196,0.31003737887298943,-0.6856368563685636,0.543360433604336,0.001298554652213196
017 M̩diath̬que Emile Zola,-0.0016373080397470662,0.567454834190169,-1.2344173441734418,1.5230352303523034,0.0016373080397470662
018 Nombre d'Or,-0.006492773261065937,0.1941947136803632,-0.37533875338753386,0.34688346883468846,0.006492773261065937
019 Louis Blanc,0.021115627822944863,0.3997184958802277,-0.9566395663956642,0.5636856368563685,0.021115627822944863
020 Gambetta,0.00711382113821138,0.1535552783486868,-0.624661246612466,0.30894308943089427,0.00711382113821138
021 Port Marianne,-0.0225271002710027,0.415505155659394,-1.2195121951219512,0.46341463414634143,0.0225271002710027
022 Clemenceau,0.0010162601626016222,0.0857863311223812,-0.20596205962059622,0.14092140921409219,0.0010162601626016222
023 Les Arceaux,0.0064927732610659495,0.08551952589987849,-0.19105691056910568,0.2059620596205961,0.0064927732610659495
024 Cit̩ Mion,0.0009598012646793077,0.058980462909582865,-0.1422764227642276,0.1192411924119241,0.0009598012646793077
025 Nouveau Saint-Roch,-0.004968383017163502,0.1305625613612849,-0.4214092140921408,0.17344173441734423,0.004968383017163502
026 Renouvier,0.006266937669376687,0.2272533289607977,-0.6598915989159891,0.505420054200542,0.006266937669376687
027 Odysseum,-0.005984643179765131,0.10186407580593562,-0.1964769647696477,0.20596205962059622,0.005984643179765131
028 Saint-Denis,0.008468834688346891,0.11103510808473623,-0.24661246612466126,0.2140921409214092,0.008468834688346891
029 Richter,-0.018179765130984647,0.2601015073569758,-0.7791327913279132,0.2994579945799458,0.018179765130984647
030 Charles Flahault,-0.0027664859981933014,0.1452812574287099,-0.4390243902439024,0.25609756097560976,0.0027664859981933014
031 Voltaire,-0.006210478771454382,0.14206047601388175,-0.33604336043360433,0.2506775067750677,0.006210478771454382
