departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,143,0.1937669376693767
001 Rue Jules Ferry - Gare Saint-Roch,002 Com̩die,14,0.018970189701897018
001 Rue Jules Ferry - Gare Saint-Roch,003 Esplanade,13,0.017615176151761516
001 Rue Jules Ferry - Gare Saint-Roch,004 H̫tel de Ville,19,0.025745257452574527
001 Rue Jules Ferry - Gare Saint-Roch,005 Corum,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,007 Foch,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,008 Halles Castellane,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,010 Rondelet,18,0.024390243902439025
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,20,0.02710027100271003
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,20,0.02710027100271003
001 Rue Jules Ferry - Gare Saint-Roch,013 Emile Combes,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,014 Beaux-Arts,5,0.006775067750677507
001 Rue Jules Ferry - Gare Saint-Roch,015 Les Aubes,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,18,0.024390243902439025
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,40,0.05420054200542006
001 Rue Jules Ferry - Gare Saint-Roch,018 Nombre d'Or,20,0.02710027100271003
001 Rue Jules Ferry - Gare Saint-Roch,019 Louis Blanc,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,020 Gambetta,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,021 Port Marianne,76,0.10298102981029811
001 Rue Jules Ferry - Gare Saint-Roch,022 Clemenceau,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,024 Cit̩ Mion,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,026 Renouvier,15,0.02032520325203252
001 Rue Jules Ferry - Gare Saint-Roch,027 Odysseum,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,028 Saint-Denis,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,21,0.028455284552845527
001 Rue Jules Ferry - Gare Saint-Roch,030 Charles Flahault,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,031 Voltaire,41,0.05555555555555555
001 Rue Jules Ferry - Gare Saint-Roch,032 Pr̩s d'Ar̬nes,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,033 Garcia Lorca,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,034 Vert Bois,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,035 Malbosc,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,036 Occitanie,10,0.013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,037 FacdesSciences,11,0.014905149051490514
001 Rue Jules Ferry - Gare Saint-Roch,038 Fac de Lettres,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,039 Aiguelongue,7,0.009485094850948509
