departure_station,arrival_station,count,avg_count
001 Rue Jules Ferry - Gare Saint-Roch,001 Rue Jules Ferry - Gare Saint-Roch,127,0.17208672086720866
001 Rue Jules Ferry - Gare Saint-Roch,002 Com̩die,11,0.014905149051490514
001 Rue Jules Ferry - Gare Saint-Roch,003 Esplanade,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,004 H̫tel de Ville,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,005 Corum,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,8,0.01084010840108401
001 Rue Jules Ferry - Gare Saint-Roch,008 Halles Castellane,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,009 Observatoire,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,010 Rondelet,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,011 Plan Cabanes,17,0.023035230352303523
001 Rue Jules Ferry - Gare Saint-Roch,012 Boutonnet,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,013 Emile Combes,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,014 Beaux-Arts,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,015 Les Aubes,7,0.009485094850948509
001 Rue Jules Ferry - Gare Saint-Roch,016 Antigone centre,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,017 M̩diath̬que Emile Zola,22,0.02981029810298103
001 Rue Jules Ferry - Gare Saint-Roch,018 Nombre d'Or,33,0.044715447154471545
001 Rue Jules Ferry - Gare Saint-Roch,019 Louis Blanc,6,0.008130081300813009
001 Rue Jules Ferry - Gare Saint-Roch,020 Gambetta,3,0.0040650406504065045
001 Rue Jules Ferry - Gare Saint-Roch,021 Port Marianne,19,0.025745257452574527
001 Rue Jules Ferry - Gare Saint-Roch,022 Clemenceau,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,023 Les Arceaux,9,0.012195121951219513
001 Rue Jules Ferry - Gare Saint-Roch,025 Nouveau Saint-Roch,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,026 Renouvier,2,0.0027100271002710027
001 Rue Jules Ferry - Gare Saint-Roch,028 Saint-Denis,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,029 Richter,18,0.024390243902439025
001 Rue Jules Ferry - Gare Saint-Roch,030 Charles Flahault,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,031 Voltaire,26,0.03523035230352303
001 Rue Jules Ferry - Gare Saint-Roch,032 Pr̩s d'Ar̬nes,1,0.0013550135501355014
001 Rue Jules Ferry - Gare Saint-Roch,033 Garcia Lorca,4,0.005420054200542005
001 Rue Jules Ferry - Gare Saint-Roch,034 Vert Bois,3,0.0040650406504065045
