tram_id,tram_name,latitude,longitude,tram_line,network,operator,shelter,bench,osm_id,source,data_retrieved,last_updated,data_version
TR0043,Millénaire,43.6033557,3.9100221,41153,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317827428,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0044,Mondial 98,43.6027649,3.9041182,41151,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317827455,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0045,Université Montpellier - Triolet,43.6291563,3.8616709,41119,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317829490,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0046,Hôpital Lapeyronie,43.6316941,3.8525865,41239,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317829573,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0047,Occitanie - Hôpitaux-Facultés,43.6347952,3.8483979,41241,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317829604,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0048,Château d'Ô,43.6316074,3.8430532,41243,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317830323,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0049,Euromédecine,43.6389849,3.8276286,41247,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317830790,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0050,Hauts de Massane,43.6362734,3.8226703,41249,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317830908,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0051,Saint-Paul,43.6306907,3.8210039,41251,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317831067,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0052,Halles de la Paillade,43.6275357,3.8174933,41253,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,317831124,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0053,Nouveau Saint-Roch,43.5994208,3.8756775,42123,TaM,TaM,unknown,unknown,350510758,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0054,Georges Pompidou,43.6493853,3.9209977,42167,TaM,TaM,unknown,unknown,368004431,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0055,Notre-Dame de Sablassou,43.6342577,3.9223924,42159,TaM,TaM,unknown,unknown,945144528,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0056,Centurions,43.6327809,3.9156202,42213,TaM,TaM,unknown,unknown,945144532,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0057,La Galine,43.6314427,3.9089161,42215,TaM,TaM,unknown,unknown,945144547,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0058,Clairval,43.6301628,3.9025061,42217,TaM,TaM,unknown,unknown,945144550,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0059,Odysseum,43.603795,3.9204329,41201,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,947038576,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0060,Gare Saint-Roch République,43.6051723,3.8797962,43231,TaM,TaM,unknown,unknown,1253673426,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0061,Georges Frêche - Hôtel de ville,43.5994093,3.8949293,43217,TaM,TaM,unknown,unknown,1325372165,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0062,Mosson,43.6161429,3.8196447,43103,TaM,TaM,unknown,unknown,1325390524,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0063,Pergola,43.6174105,3.8397593,43111,TaM,TaM,unknown,unknown,1433104540,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0064,Pérols Étang de l'Or,43.5579423,3.9636059,43157,TaM,TaM,unknown,unknown,1503531720,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0065,Écopôle,43.5779836,3.9352762,43151,TaM,TaM,unknown,unknown,1503531737,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0066,Tonnelles,43.6134871,3.8397933,43113,TaM,TaM,unknown,unknown,1504387689,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0067,Jules Guesde,43.6113243,3.8467949,43115,TaM,TaM,unknown,unknown,1504405475,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0068,Astruc,43.6102597,3.855048,43117,TaM,TaM,unknown,unknown,1504405479,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0069,La Rauze,43.5935375,3.8958178,43219,TaM,TaM,unknown,unknown,1506442723,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0070,Garcia Lorca,43.5911314,3.8909614,44105,TaM,TaM,unknown,unknown,1506442726,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0071,Observatoire,43.606427,3.8766896,43233,TaM,TaM,unknown,unknown,1506452485,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0072,Plan Cabanes,43.6085497,3.8680755,43121,TaM,TaM,unknown,unknown,1506452489,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0073,Hôtel du Département,43.6220087,3.8351279,43109,TaM,TaM,unknown,unknown,1506744094,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0074,Pilory,43.6195923,3.8321502,43107,TaM,TaM,unknown,unknown,1506752860,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0075,Celleneuve,43.6156769,3.8259015,43105,TaM,TaM,unknown,unknown,1506752868,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0076,Parc Expo,43.5728456,3.9457963,43153,TaM,TaM,unknown,unknown,1508371545,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0077,Boirargues,43.5827358,3.9256144,43209,TaM,TaM,unknown,unknown,1508371563,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0078,Pérols - Centre,43.5654383,3.9573953,43203,TaM,TaM,unknown,unknown,1508371591,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0079,Saint-Jean-de-Védas Centre,43.5749282,3.8307161,42269,TaM,TaM,unknown,unknown,1540197414,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0080,Saint-Jean-le-Sec,43.5708971,3.837919,42267,TaM,TaM,unknown,unknown,1540200957,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0081,Sabines,43.5837056,3.8602074,42259,TaM,TaM,unknown,unknown,1540210571,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0082,Villeneuve d'Angoulême,43.5887133,3.8656566,42257,TaM,TaM,unknown,unknown,1547362409,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0083,Croix d'Argent,43.5923385,3.8664466,42255,TaM,TaM,unknown,unknown,1547373347,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0084,Mas Drevon,43.5954543,3.8677984,42253,TaM,TaM,unknown,unknown,1547375469,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0085,Saint-Cléophas,43.5948469,3.8758854,42249,TaM,TaM,unknown,unknown,1547384911,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0086,Lemasson,43.5936982,3.8730593,42251,TaM,TaM,unknown,unknown,1547384953,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0087,Nouveau Saint-Roch,43.5992903,3.8756446,42247,TaM,TaM,unknown,unknown,1547396442,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0088,Rondelet,43.6031345,3.8759259,42245,TaM,TaM,unknown,unknown,1547396457,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0089,Jacou,43.6544887,3.9128035,42201,TaM,TaM,unknown,unknown,1547402817,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0090,Georges Pompidou,43.6492338,3.9210436,42203,TaM,TaM,unknown,unknown,1547404590,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0091,Via Domitia,43.6466173,3.9294866,42205,TaM,TaM,unknown,unknown,1547411650,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0092,Aube Rouge,43.6384876,3.9248573,42207,TaM,TaM,unknown,unknown,1547420308,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0093,Notre-Dame de Sablassou,43.6342103,3.9221379,42211,TaM,TaM,unknown,unknown,1547429119,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0094,Centurions,43.6327881,3.9158063,42157,TaM,TaM,unknown,unknown,1547440719,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0095,La Galine,43.6314509,3.90911,42155,TaM,TaM,unknown,unknown,1547443496,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0096,Clairval,43.6301681,3.9026917,42153,TaM,TaM,unknown,unknown,1547447278,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0097,Charles de Gaulle,43.628648,3.8978384,42151,TaM,TaM,unknown,unknown,1547454806,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0098,Observatoire,43.6063438,3.8768143,43125,TaM,TaM,unknown,unknown,1585675583,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0099,La Rauze,43.5935183,3.8960726,43139,TaM,TaM,unknown,unknown,1623916533,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0100,Saint-Martin - Le Jam,43.5921013,3.8804566,43133,TaM,TaM,unknown,unknown,1623916618,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0101,Georges Frêche - Hôtel de ville,43.5994861,3.8950854,43141,TaM,TaM,unknown,unknown,1623916826,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0102,Gambetta,43.6055891,3.8739545,43123,TaM,TaM,unknown,unknown,1675121446,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0103,Gambetta - Chaptal,43.6062372,3.8727299,43235,TaM,TaM,unknown,unknown,1675121448,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0104,Cougourlude,43.5713259,3.9141537,43261,TaM,TaM,unknown,unknown,1680725835,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0105,Pablo Picasso,43.5979503,3.9035259,43213,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,1680783342,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0106,Pablo Picasso,43.5975961,3.9035645,43145,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,1680783344,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0107,Gare Saint-Roch République,43.6052424,3.8797132,43127,TaM,TaM,unknown,unknown,1680783345,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0108,Garcia Lorca,43.5912294,3.8911652,44201,TaM,TaM,unknown,unknown,1681472362,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0109,Arceaux,43.609864,3.8624768,43119,TaM,TaM,unknown,unknown,1682209623,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0110,Restanque,43.590299,3.8852278,43135,TaM,TaM,unknown,unknown,1934914134,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0111,Restanque,43.5904199,3.8849928,43223,TaM,TaM,unknown,unknown,1934914135,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0112,Cougourlude,43.5713482,3.9139627,43161,TaM,TaM,unknown,unknown,2187320583,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0113,Comédie,43.6083781,3.8798137,41223,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2305432920,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0114,Gare Saint-Roch,43.6056635,3.8802526,41221,TaM,TaM,unknown,unknown,2305432922,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0115,Celleneuve,43.6154832,3.8258568,43253,TaM,TaM,unknown,unknown,2564554951,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0116,Saint-Martin - Le Jam,43.5922458,3.8802527,43225,TaM,TaM,unknown,unknown,2564674976,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0117,Moularès (Hôtel de Ville),43.6006479,3.8955356,41209,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2565144095,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0118,Mondial 98,43.6027593,3.903967,41205,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2572111087,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0119,Jules Guesde,43.6114471,3.8466375,43243,TaM,TaM,unknown,unknown,2575419127,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0120,Hôtel du Département,43.6219189,3.8349511,43249,TaM,TaM,unknown,unknown,2575419150,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0121,Pergola,43.6182507,3.8391413,43247,TaM,TaM,unknown,unknown,2575419210,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0122,Pilory,43.6195151,3.8319619,43251,TaM,TaM,unknown,unknown,2575419232,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0123,Astruc,43.610261,3.8548,43241,TaM,TaM,unknown,unknown,2575419253,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0124,Rives du Lez,43.6043283,3.8948981,41211,TaM,TaM,unknown,unknown,2575586331,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0125,Place de l'Europe,43.6073923,3.8939694,41213,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2575586432,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0126,Place de France,43.6037388,3.9157934,41161,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2575611355,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0127,Odysseum,43.6038356,3.9203673,41155,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2575611364,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0128,Malbosc - Domaine d'Ô,43.6345296,3.833307,41111,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2577354970,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0129,Hauts de Massane,43.6364094,3.822705,41107,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2577355001,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0130,Saint-Paul,43.6306548,3.8212159,41105,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2577355086,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0131,Occitanie - Hôpitaux-Facultés,43.634628,3.8484797,41115,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2577880057,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0132,Château d'Ô,43.6316307,3.8430936,41113,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2998606177,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0133,Hôpital Lapeyronie,43.6316751,3.8525608,41117,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,2998606178,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0134,Aiguelongue,43.6262919,3.8830851,42223,TaM,TaM,unknown,unknown,3118400912,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0135,Beaux-Arts,43.6169338,3.8834353,42227,TaM,TaM,unknown,unknown,3118400913,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0136,Corum,43.6141886,3.881667,41225,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3118400914,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0137,Corum,43.6144479,3.8821386,42229,TaM,TaM,unknown,unknown,3118400915,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0138,Jeu de Mail des Abbés,43.6203407,3.884074,42225,TaM,TaM,unknown,unknown,3118400916,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0139,Louis Blanc - Agora de la Danse,43.6147682,3.8780174,41227,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3118400917,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0140,Albert 1er - Saint-Charles,43.6166028,3.8739949,41229,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3118400918,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0141,Saint-Lazare,43.6267545,3.8885806,42221,TaM,TaM,unknown,unknown,3118402938,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0142,Les Aubes,43.61399,3.8881044,42139,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3118523797,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0143,Pompignane,43.6126573,3.8949896,42137,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3118523798,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0144,Du Guesclin,43.6071804,3.8833017,41138,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3118564775,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0145,Antigone,43.6084999,3.8866241,41217,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3119065612,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0146,Du Guesclin,43.6070636,3.8831972,41218,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3119065613,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0147,Léon Blum,43.6089494,3.8900989,41215,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,3119065614,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0148,Boirargues,43.5826143,3.9257823,43149,TaM,TaM,unknown,unknown,3119254607,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0149,Parc Expo,43.5729444,3.9456566,43205,TaM,TaM,unknown,unknown,3119254608,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
