station_id,station_name,station_name_raw,latitude,longitude,data_source,last_updated,data_version
BK021,Halles Castellane,008 Halles Castellane,43.6101245,3.8768434,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK047,Pérols Etang de l'Or,055 Pérols Etang de l'Or,43.5579564,3.9636474,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK022,Hôtel de Ville,004 Hôtel de Ville,43.5985194,3.8966319,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK052,Sabines,043 Sabines,43.583879,3.8601051,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK010,Comedie Baudin,060 Comedie Baudin,43.6085548,3.8811936,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK044,Providence - Ovalie,054 Providence - Ovalie,43.5882994,3.8534561,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK020,Garcia Lorca,033 Garcia Lorca,43.5877543,3.8871086,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK045,Prés d'Arènes,032 Prés d'Arènes,43.5936317,3.8877518,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK031,Marie Caizergues,042 Marie Caizergues,43.619655,3.8733067,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK013,Deux Ponts - Gare Saint-Roch,55-053 Deux Ponts - Gare Saint-Roch,43.60424,3.88339,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
BK038,Perols etang or,058 Perols etang or,43.5584733,3.9633257,OpenStreetMap_Geocoded,2025-12-16 10:11:13,1.0
