system_id,n_stations,operator,flag_A1,flag_A2,flag_A3,flag_A6,flag_A7,n_high_confidence,n_low_confidence
petitesreines,16,Les Petites Reines,0,0,0,0,0,16,0
chantrerie,16,Naolib Micromob',0,0,16,0,0,0,0
choletbus,16,Choletbus 2 Roues,0,0,0,0,0,16,0
ti_velo,14,Ti Vélo,0,0,0,0,0,14,0
labaule,14,La Baule,0,0,0,0,0,14,0
mp_CHATELLERAULT,13,CHATELLERAULT,0,0,0,0,0,13,0
tlpmobilites,13,TLP Mobilites,0,0,0,0,0,13,0
saintbrieuc,12,Vélo'Baie,0,0,0,0,0,12,0
auray-quiberon,11,AQTA,0,0,0,0,0,11,0
cyclolibre,10,Cyclolibre,0,0,0,0,0,10,0
calais,9,Velect'in,0,0,0,0,0,9,0
auto-en-velay,9,Auto-en-Velay,9,0,0,0,0,0,9
dott-ol-vallee,8,Dott,0,0,8,0,0,0,0
aupa,8,Citiz (carsharing),8,0,0,0,0,0,8
velo-modalis,8,VéloModalis - TERRA,0,0,0,0,0,8,0
vivelo,8,Vivélo,0,0,0,0,0,8,0
velodaqui,6,Vélo d'Aqui,0,0,0,0,0,6,0
mp_LASCAUX,5,VELO VEZERE LASCAUX,0,0,0,0,0,5,0
velyceo,5,VélYcéo,0,0,0,0,0,5,0
mp_ARBRESLE,4,PAYS DE L'ARBRESLE - VEL'PAR,0,0,0,0,0,4,0
perivelo,3,Périvélo,0,0,0,0,0,3,0
mp_OSSAU,3,VALLEE D'OSSAU,0,0,0,0,0,3,0
