Région-Département-Ville,"L’espérance de vie"
"Aquitaine - Pyrénées-Atlantiques - Mouguerre",60
"Aquitaine - Pyrénées-Atlantiques - Lasseube",94
"Île-de-France - Hauts de Seine - Fontenay-aux-Roses",92
"Aquitaine - Pyrénées-Atlantiques - Souraïde",79
"Aquitaine - Pyrénées-Atlantiques - Anglet",89
"Auvergne - Allier - Vichy",91
"Rhône-Alpes - Ardèche - Saint-Prix",68
"Auvergne - Allier - Moulins",11
"Bourgogne - Yonne - Vaux",63
"Auvergne - Allier - Saligny-sur-Roudon",99
"Auvergne - Allier - Montluçon",72
"Auvergne - Allier - Cosne-D'allier",87
"Auvergne - Allier - Saint-Pont",98
"Auvergne - Allier - Gannat",73
"Auvergne - Allier - Villeneuve-sur-Allier",83
"Auvergne - Puy-de-Dôme - Issoire",57
"Auvergne - Allier - Dompierre-sur-Besbre",48
"Auvergne - Allier - Avermes",55
"Auvergne - Allier - Lavault-Sainte-Anne",89
"Auvergne - Allier - Châtel-Montagne",74
"Auvergne - Cantal - Ydes",91
"Auvergne - Cantal - Aurillac",82
"Auvergne - Cantal - Ally",78
"Auvergne - Cantal - Le Falgoux",95
"Auvergne - Cantal - Cassaniouze",72
"Auvergne - Cantal - Saint-Cernin",57
"Auvergne - Cantal - Jussac",71
"Auvergne - Cantal - Cézens",86
"Auvergne - Cantal - Saint-Christophe-Les-Gorges",83
"Île-de-France - Hauts de Seine - Colombes",76
"Rhône-Alpes - Rhône - Bagnols",91
"Midi-Pyrénées - Haute Garonne - Saint-Mamet",85
"Auvergne - Haute Loire - Le Puy-En-Velay",88
"Auvergne - Haute Loire - Bas-en-Basset",86
"Auvergne - Haute Loire - Saugues",80
"Rhône-Alpes - Rhône - Lyon",84
"Auvergne - Haute Loire - Saint-Germain-Laprade",88
"Auvergne - Haute Loire - Allègre",97
"France - Franche-Comté - Chambon Sur Lignon",85
"Auvergne - Haute Loire - Saint-Didier-En-Velay",93
"Languedoc-Roussillon - Lozère - Langogne",86
"Auvergne - Haute Loire - Tence",91
"Rhône-Alpes - Loire - Saint-Étienne",85
"Auvergne - Haute Loire - Solignac-sur-Loire",59
