numero,nom,type,population_2009,surface_km2,revenu_fiscal_moyen_menage,nb_allocataires_rsa,pct_proprietaires,pct_locataires,pct_logements_sociaux,csp_agriculteurs_exploitants_nb,csp_agriculteurs_exploitants_pct,csp_artisans_nb,csp_artisans_pct,csp_cadres_nb,csp_cadres_pct,csp_employ_nb,csp_employ_pct,csp_ouvriers_nb,csp_ouvriers_pct,csp_retrait_nb,csp_retrait_pct,diplome_cep_nb,diplome_cep_pct,diplome_bepc_nb,diplome_bepc_pct,diplome_dipl_nb,diplome_dipl_pct
,Centre,quartier,75286.53117,8.06,28854.024507398255,4763.0,0.32403236748456915,0.6759676325154308,0.06172730637650477,53.13309700000001,0.0007962115889882386,1845.8356400000005,0.027660268475137494,9420.650651,0.14117060076764948,8953.364404,0.1341682096735218,4281.838849,0.06416433270874197,12397.738671,0.1857829444253521,0.06321949172962554,0.05081158366652955,0.06459522721956298,0.05453113941416297,,
,Croix d'Argent,quartier,,7.91,27524.0,1959.0,0.4198305556303884,0.5801694443696116,0.27135155470205075,23.793669,0.0008544580085284972,749.4468370000001,0.026913497529153712,2253.1918459999997,0.08091470960471914,5568.080212999999,0.19995616187343404,2689.328429,0.09657687571103103,6685.325649,0.24007772993769994,0.09015127836563784,0.08409471503458313,0.09229040920258537,0.08054598441986616,,
,Cévennes,quartier,,8.26,28476.0,2644.0,0.4074405081994077,0.5925594918005923,0.15025861072508154,18.682351999999998,0.0005208024031570827,906.1234910000001,0.025259736657883614,3787.282555,0.10557695605343996,6042.676264,0.16844989965885784,3569.737749000001,0.09951252381497551,7377.809266,0.20566900761571094,0.05923514881488578,0.05367638764614691,0.0703491512317406,0.0642854699946067,,
,Hôpitaux-Facultés,quartier,39612.0,12.82,,,0.23967969783404125,0.7603203021659588,0.10256883814198005,19.319903,0.0005496828791452424,603.654762,0.01717496654025106,4528.290709,0.1288372863222849,4842.2341240000005,0.13776949060125512,2054.4963110000003,0.05845378454662839,3847.511222,0.10946799505425,0.043002064817308554,0.03648151732146313,0.052761520244187086,0.04658542427907877,,
,Mosson,quartier,,5.05,19384.0,2802.0,0.28448422588308164,0.7155157741169182,0.4518738951203325,10.541993,0.000499092863155853,613.163943,0.02902921182890202,661.116999,0.03129946831798458,3565.0048720000004,0.16877913775232498,3317.141037,0.15704444289121663,3604.162852,0.17063300621473046,0.06976744186046512,0.062235989862010704,0.06826706676669167,0.06122219093213179,,
,Port Marianne,quartier,17802.0,11.14,27916.0,1207.0,0.22705697132365496,0.7729430286763449,0.12934136240894298,22.034497,0.001444602241720303,434.50262799999996,0.02848639887001563,1899.111792,0.12450754614460503,2930.4422120000004,0.1921225335294472,1245.200176,0.08163648871313539,2542.498404,0.16668857446524385,0.0647396218430153,0.05149063936040386,0.06819386704799216,0.060354195902637915,,
,Près d'Arènes,quartier,,4.02,27593.0,1122.0,0.4345277187075091,0.5654722812924908,0.21334938593271496,15.822471,0.001140457683165109,401.258668,0.02892206475570078,1005.461812,0.07247203351641551,2849.7572340000006,0.20540581383720977,1381.548365,0.0995797336287388,3501.662531,0.25239407532049396,0.0653464979525992,0.07010957935764725,0.09893034292666464,0.08162423059512003,,
01,Hôpitaux-Facultés,sous-quartier,27726.0,6.51,,,0.18865513744380175,0.8113448625561983,0.08911047760220613,0.0,0.0,384.39538000000005,0.015484582229812317,2769.386025,0.1115590557571362,3372.5653730000004,0.13585690297223693,1404.7246660000003,0.056586462097756335,1816.0956930000002,0.07315770313229697,0.03302509907529723,0.027457098283931357,0.052997655071187436,0.04762423861154446,,
02,Aiguelongue,sous-quartier,,4.02,,,0.3532330386472656,0.6467669613527344,0.15864068116220623,10.841586,0.0013006104121668256,189.867453,0.022777441077661092,1486.6301290000001,0.17834352140160226,1172.6944119999998,0.14068223620944878,556.84641,0.06680205634339083,1502.4508329999999,0.18024145149690465,0.06316393913293138,0.05438931297709924,0.04902236233132357,0.041231845419847334,,
03,Plan des 4 seigneurs,sous-quartier,,2.29,,,0.38419011203376696,0.6158098879662331,0.004303536711631307,8.478317,0.00426646468890374,29.391928999999998,0.01479062733998573,272.27455499999996,0.1370141945146046,296.974339,0.14944363732259935,92.925235,0.04676190260821598,528.964696,0.2661859891722262,0.04033214709371293,0.039077514413837285,0.06630209015421115,0.059589344010249845,,
04,Paillade,sous-quartier,,2.76,,,0.1985136539190408,0.8014863460809593,0.6018394859018011,10.541993,0.0010387049815201435,276.647508,0.027258142239777034,114.945164,0.011325573299892144,1470.0733689999997,0.1448466652918855,1747.605914,0.17219201042970372,1760.4224800000002,0.17345482960916836,0.07142477102450372,0.06439077680678991,0.05518821008650715,0.0515101141547566,,
05,Hauts de Massane,sous-quartier,10173.0,1.52,21723.0,892.0,0.30824884088645127,0.6917511591135488,0.5248926621293027,0.0,0.0,258.353399,0.03537540078245948,196.359958,0.026886862099603767,1350.4622370000002,0.18491393208049792,1159.9466169999998,0.15882731414202533,1166.7370890000002,0.1597571090254365,0.07147239263803681,0.06504460665044606,0.07822085889570553,0.06974858069748581,,
06,Celleneuve,sous-quartier,,0.77,23404.0,388.0,0.41928539686501665,0.5807146031349834,0.061397931079023034,0.0,0.0,78.163036,0.02129815198107874,349.811877,0.09531802885871042,744.4692660000001,0.20285572802609836,409.58850600000005,0.11160618492980469,677.003283,0.18447234845155272,0.06245091625687453,0.051250884136047295,0.08192340993287514,0.070205418287463,,
