Station_Name,PageRank,Betweenness,Degree_Cent,S_Core,Clustering,Hub_Score,Auth_Score
Comédie,0.04193637259213298,0.0,1.9642857142857142,52,0.10401573605769115,0.04313917293689729,0.041585385174348816
Boutonnet,0.03826704202546679,0.004444157483930212,1.9285714285714284,52,0.1000839023900285,0.05075964383539323,0.05120796580090812
Place Albert 1er - St Charles,0.03580637881365041,0.000487012987012987,1.9107142857142856,52,0.09686124292259406,0.0473637773395141,0.05005074696315355
FacdesSciences,0.03192119666605588,0.0,1.9107142857142856,52,0.09088635906927008,0.04139840022589645,0.04112724232328506
Médiathèque Emile Zola,0.030679878983782088,0.0,1.9107142857142856,52,0.0934244524820859,0.031478354737265436,0.03172422393071955
Fac de Lettres,0.03064542464406047,0.0,1.9285714285714284,52,0.08237376226515665,0.043166943639936235,0.03801354138703894
Corum,0.030237052589724252,0.0,1.9285714285714284,52,0.08052944521149742,0.0338665722726412,0.038205944760885964
Port Marianne,0.030138718481671416,0.0027966000449766684,1.9107142857142856,52,0.08264864155756893,0.027688989716077625,0.028050205852666273
Louis Blanc,0.029810153427161225,0.0,1.9107142857142856,52,0.08042847446449754,0.03930960218658215,0.03999051884980939
Rue Jules Ferry - Gare Saint-Roch,0.027731975581836175,0.0017346938775510206,1.9464285714285714,52,0.08048717944500655,0.025531412277351652,0.027411543844369935
Occitanie,0.027685654811271283,0.0011183261183261184,1.8928571428571428,52,0.07539475096967439,0.033801630899126876,0.035387108733655345
Plan Cabanes,0.026823810533501854,0.0,1.9285714285714284,52,0.08204090309384955,0.027298437745948857,0.026952022099651834
Observatoire,0.025234860343152123,0.0,1.9285714285714284,52,0.08234139615182037,0.024422981597583965,0.023093747286540855
Pérols Etang de l'Or,0.024655304126023264,0.0,1.9285714285714284,52,0.06127657570583926,0.021348496553370722,0.0220787090513937
Hôtel de Ville,0.0223618765905727,0.0,1.9107142857142856,52,0.0674873334109257,0.018019233275326924,0.019538769979042112
Halles Castellane,0.022214019227934728,4.6382189239332094e-05,1.9464285714285714,52,0.06750132469397774,0.021755544613452197,0.020520627340906046
Vert Bois,0.021928950071438597,0.009033403465221647,1.9107142857142856,52,0.06160371725524916,0.029100993769298627,0.024954251455124817
Nombre d'Or,0.021885597019164333,0.0076959647495361775,1.9285714285714284,52,0.06381925070284257,0.020857072852801195,0.021387571181264144
Antigone centre,0.02176832136365071,0.007904684601113172,1.9107142857142856,52,0.06784241297444907,0.023076188661828586,0.022737609298262573
Père Soulas,0.020665774686056845,0.030848960425450118,1.9285714285714284,52,0.0635008611529679,0.022420134740289862,0.023085583215592582
Richter,0.02034286423630547,0.02598524941869098,1.9464285714285714,52,0.06129461332337676,0.01785975609984669,0.019118442363442244
Place Viala,0.01968346019169857,0.001231447124304267,1.9107142857142856,52,0.05852753647757342,0.018822322221909372,0.01902821004386779
Parvis Jules Ferry - Gare Saint-Roch,0.019450041599854462,0.015242733457019179,1.9464285714285714,52,0.06044787491935346,0.015717743972105486,0.016299224997540114
Saint-Guilhem - Courreau,0.01933473006496405,0.0,1.9107142857142856,52,0.06412577450876401,0.01990691064709025,0.017947924042324554
Renouvier,0.01924630826646096,0.00010822510822510823,1.9107142857142856,52,0.06410265623198103,0.01867518973128736,0.01861523649987444
Foch,0.01783860105527251,5.156608097784568e-05,1.9285714285714284,52,0.05865263268343633,0.017072567106450207,0.016728520979800245
Albert 1er - Cathédrale,0.015525402940172177,0.002467567605554619,1.9107142857142856,52,0.05072941779074476,0.01778288443824699,0.016220208968159403
Voltaire,0.014980684958697438,0.0020238577259681155,1.875,52,0.05063787282771945,0.012206960333308514,0.01242690723229552
Nouveau Saint-Roch,0.0146963158085309,0.00923501218669286,1.9107142857142856,52,0.04854923243963517,0.010710544071193066,0.01096111797778483
Les Arceaux,0.014416353474290083,0.009217142435486592,1.8928571428571428,52,0.046685484896743616,0.014054054959981464,0.014540270035488382
Pont de Lattes - Gare Saint-Roch,0.014182865962555333,0.0020420110192837463,1.8928571428571428,52,0.0469696747534834,0.012889076167847438,0.012470004364691834
Rondelet,0.014020082075580535,0.025984368265212426,1.9107142857142856,52,0.047495254964547935,0.01015299286877999,0.010310896935987114
Aiguelongue,0.01378235052906741,0.016437091020981398,1.8928571428571428,52,0.04355871652126974,0.015153755561179766,0.015682458960359764
Charles Flahault,0.013509093642374011,0.03747577819006392,1.9107142857142856,52,0.04461186887137323,0.013865850285082621,0.013824230593251215
Gambetta,0.01300725562498006,0.0003652597402597403,1.9107142857142856,52,0.045155516213468055,0.01016816704650998,0.010362460345895491
Garcia Lorca,0.012056952019409251,0.011207909604825185,1.8214285714285714,52,0.04179515516869736,0.009155558792298195,0.008675132371476981
Sabines,0.011840905573874481,0.005407337521785574,1.8928571428571428,52,0.042318397972775645,0.008801884039015996,0.008403767963302215
Jardin de la Lironde,0.01141218289400225,0.026439331586629138,1.875,52,0.03818352978113428,0.008306340040472733,0.008652034851530575
Tonnelles,0.011180136984100215,0.000487012987012987,1.875,52,0.03815507613537449,0.008785142693913174,0.008882590526434154
Les Aubes,0.010962907528918965,0.11138635993176675,1.7857142857142856,52,0.0346477823602043,0.010258899541465437,0.010072985031892977
Jeu de Mail des Abbés,0.01030315412380872,0.010848407544836116,1.7857142857142856,52,0.03603389362204935,0.009968309633100695,0.010676342927154239
Celleneuve,0.010182510796641158,0.018526915004187735,1.857142857142857,52,0.0360344238011755,0.007941348973619717,0.007982408237195798
Emile Combes,0.010153499130257893,0.040330974172885954,1.8214285714285714,52,0.03659236009469244,0.008649279202932668,0.009032591239203702
Beaux-Arts,0.009829884367471686,0.027841042064208607,1.8928571428571428,52,0.03793022532287882,0.008597072356656656,0.008517426837961846
Comedie Baudin,0.009696099421246444,0.0010822510822510823,1.8928571428571428,52,0.0372411593836254,0.008630399345719492,0.008291061112529733
Marie Caizergues,0.009414565312192332,0.08490409572390092,1.8035714285714284,52,0.035365260916784,0.008763644531548383,0.009452383224990608
Prés d'Arènes,0.009171275397486694,0.05320376291012272,1.75,52,0.03267466303569063,0.005720281933761585,0.005884049863215056
Sud De France,0.009027000687820301,0.05614207266398824,1.857142857142857,52,0.033144932831884445,0.005856683527588881,0.005864024646769167
Malbosc,0.00875593001593152,0.047512801581747345,1.7678571428571428,52,0.030189817130425962,0.00783544842375926,0.007228055913399862
AtelierTAM,0.008568104316405603,0.025379366887674757,1.5535714285714284,52,0.03603717446747658,0.007661493259521134,0.006348724624982183
Hôtel du Département,0.008499806627772638,0.1397703485134253,1.8035714285714284,52,0.028304334556670665,0.006422954126694684,0.006678024575973799
Cité Mion,0.008487699989764941,0.09989774430115339,1.7857142857142856,52,0.03094471668091085,0.005563221375518262,0.005413162841954689
Providence - Ovalie,0.006790043703017402,0.1357349152841895,1.7857142857142856,52,0.023549278467197544,0.003962040058419258,0.003810919182945384
Jean de Beins,0.006599050096528773,0.14265911590849517,1.6607142857142856,52,0.0262491330622791,0.00449214033331138,0.004926857499193398
Euromédecine,0.005360031575111361,0.3316656095315856,1.5714285714285714,52,0.01846249118647917,0.0032220770229094624,0.003539178124239266
55-053 Deux Ponts - Gare Saint-Roch,0.0026619074817569813,0.0017879279811097992,0.10714285714285714,5,0.015209861279765863,0.00012575856860679453,2.8845534271707586e-05
Perols etang or,0.0026315789473684214,0.0,0.10714285714285714,6,0.023335053231296574,0.0004376628317637941,-0.0
