Station_Name,Community_Louvain,Participation_Coef,PageRank,Betweenness,Degree_Cent,S_Core,Clustering,Community_Size,Is_Bridge
055 P̩rols Etang de l'Or,11,0.3758899799544624,0.0403236799142917,0.09579279740570064,1.9523809523809523,56,0.03180722086347911,2,False
012 Boutonnet,4,0.6240604977495465,0.037704145226963845,0.0,1.9047619047619047,56,0.07054464253884386,10,False
002 Com̩die,1,0.8612221306385209,0.03638976032009074,0.0,1.9365079365079363,56,0.07054998725408552,2,True
006 Place Albert 1er - St Charles,4,0.6897049392972914,0.03600751129895822,0.0,1.9047619047619047,56,0.07160400074558042,10,False
036 Occitanie,10,0.7581992101793059,0.03336843853106828,0.0,1.9047619047619047,56,0.06319818376336361,5,False
017 M̩diath̬que Emile Zola,9,0.828065418997793,0.029699635397065056,0.0,1.9047619047619047,56,0.06241716489799371,8,True
037 FacdesSciences,4,0.6458787154845911,0.02904916374476422,0.0,1.9047619047619047,56,0.06034120124819659,10,False
021 Port Marianne,2,0.785660878622116,0.0288671017334603,0.0,1.9047619047619047,56,0.05506038558151548,5,False
019 Louis Blanc,4,0.695717058858862,0.026643117092057855,0.0,1.9047619047619047,56,0.05708038882454962,10,False
005 Corum,4,0.7246366569981832,0.02495170803664873,0.0,1.9206349206349205,56,0.05156395024324387,10,False
018 Nombre d'Or,9,0.7695764401894479,0.02343404039880361,0.0,1.9206349206349205,56,0.04589467996276791,8,False
001 Rue Jules Ferry - Gare Saint-Roch,0,0.8554596723219501,0.023314127139900373,0.0,1.9206349206349205,56,0.05601303777615627,6,True
003 Esplanade,2,0.8211045241182725,0.023218378605537937,0.0,1.857142857142857,56,0.05414843570866244,5,True
038 Fac de Lettres,4,0.559415943710207,0.022267101961206445,0.0,1.9047619047619047,56,0.049346302546474444,10,False
011 Plan Cabanes,0,0.8083365077600067,0.021905879135670152,0.0,1.9047619047619047,56,0.05212169360128648,6,False
016 Antigone centre,9,0.8000483390987014,0.021755558955574558,0.0,1.9206349206349205,56,0.04678375525203097,8,False
004 H̫tel de Ville,3,0.8030203654686174,0.020750988073655878,0.0,1.8888888888888888,56,0.04344994136086759,3,False
008 Halles Castellane,5,0.8487371378596024,0.019487207396941437,0.0,1.9206349206349205,56,0.04811975936831409,8,True
029 Richter,2,0.8103194676862819,0.018824741158355286,0.0,1.9047619047619047,56,0.042723510729871336,5,True
009 Observatoire,0,0.8241895914352171,0.018621283540181027,0.0,1.9206349206349205,56,0.043238567151630436,6,True
047 Place Viala,5,0.7896940137329498,0.018447412534763154,0.0,1.9047619047619047,56,0.042542487341311656,8,False
057 Saint-Guilhem - Courreau,12,0.8540085290723575,0.016744216823565,0.0,1.9047619047619047,56,0.04230359576940103,1,True
046 P̬re Soulas,4,0.6995833812277653,0.01660129590962542,0.0,1.8888888888888888,56,0.040049684396205015,10,False
050 Parvis Jules Ferry - Gare Saint-Roch,7,0.8013827422281062,0.015704950086211762,0.0,1.9047619047619047,56,0.0390084403274942,8,False
025 Nouveau Saint-Roch,7,0.750566848447368,0.01534847657653647,0.0,1.9047619047619047,56,0.033582822021531664,8,False
007 Foch,5,0.8219889933939796,0.015314182215779897,0.0,1.9206349206349205,56,0.039498565315146644,8,True
023 Les Arceaux,5,0.7780816225290277,0.015050131479857011,0.008474142345110087,1.9206349206349205,56,0.036589776662364175,8,False
099 Station SAV,6,0.015594002306804966,0.01500498737663703,0.013696876600102407,0.07936507936507936,2,0.0026132946350445035,1,False
031 Voltaire,2,0.7954222331424354,0.014943179411298673,0.0,1.9047619047619047,56,0.03465041327575691,5,False
010 Rondelet,7,0.694096951841128,0.01338120445808507,0.0,1.9206349206349205,56,0.02949847426309399,8,False
099 Station SAV Smoove,5,0.0,0.012959374309282167,0.021761392729134663,0.1111111111111111,4,0.0027053511504598056,8,False
056 Albert 1er - Cath̩drale,4,0.7071495197662605,0.01270938148964523,0.0,1.9047619047619047,56,0.03444249821762329,10,False
026 Renouvier,7,0.847736044506306,0.012572343415709548,0.0,1.9206349206349205,56,0.03394007122914349,8,True
033 Garcia Lorca,3,0.8113022300640603,0.012393376274605784,0.0,1.9047619047619047,56,0.027985438032632662,3,True
034 Vert Bois,4,0.39969359011864425,0.01226736789249409,0.005248335893497184,1.873015873015873,56,0.027681593153208606,10,False
028 Saint-Denis,7,0.7887475217919324,0.011997062430727604,0.0,1.9047619047619047,56,0.031037924024194846,8,False
030 Charles Flahault,10,0.8240731608661087,0.011893872445241626,0.0,1.9047619047619047,56,0.03165656931288255,5,True
039 Aiguelongue,4,0.6517591402876979,0.011585206087043281,0.0,1.9047619047619047,56,0.029926318546203128,10,False
032 Pr̩s d'Ar̬nes,7,0.7995265937910145,0.011270897415872344,0.0,1.9047619047619047,56,0.026088588095596905,8,False
042 Marie Caizergues,5,0.7987969973368354,0.011104201114579054,0.00038402457757296467,1.9047619047619047,56,0.02950814583328153,8,False
