Station_Name,Commuter_Index,Profile,Morning_Departures,Evening_Departures,Weekday_Departures,Weekend_Departures,Weekend_Ratio,Total_Trips
099 Smoove,1.0,Residential,4,0.0,29,0.0,0.0,29
098 AtelierTAM,0.9489144316730523,Residential,2289,60.0,5660,13.0,0.0022915564956812974,5673
099 Station SAV,0.7167630057803468,Residential,297,49.0,492,29.0,0.05566218809980806,521
026 Renouvier,0.11287640864585258,Mixed-Use,3012,2401.0,6633,2408.0,0.2663422187811083,9041
099 Station SAV Smoove,0.0851063829787234,Mixed-Use,102,86.0,376,21.0,0.05289672544080604,397
029 Richter,0.04188712522045855,Mixed-Use,4726,4346.0,10969,3994.0,0.26692508186860925,14963
014 Beaux-Arts,0.03050180387012135,Mixed-Use,1571,1478.0,4288,1801.0,0.2957792741008376,6089
053 Deux Ponts - Gare Saint-Roch,0.021566401816118047,Mixed-Use,900,862.0,2404,818.0,0.2538795779019243,3222
020 Gambetta,0.018777943368107303,Mixed-Use,1709,1646.0,4898,1618.0,0.24831184775936158,6516
021 Port Marianne,-0.008036739380022962,Mixed-Use,6480,6585.0,16265,8775.0,0.35043929712460065,25040
004 H̫tel de Ville,-0.0254312251216276,Mixed-Use,4407,4637.0,11117,5784.0,0.3422282705165375,16901
013 Emile Combes,-0.04100742654181466,Mixed-Use,1485,1612.0,4355,1674.0,0.27765798639907113,6029
033 Garcia Lorca,-0.048454083987078914,Mixed-Use,2062,2272.0,5773,3029.0,0.34412633492388095,8802
039 Aiguelongue,-0.06791907514450866,Mixed-Use,1935,2217.0,5921,2485.0,0.29562217463716395,8406
040 Jeu de Mail des Abb̩s,-0.08495981630309989,Mixed-Use,1594,1890.0,4612,1739.0,0.2738151472209101,6351
032 Pr̩s d'Ar̬nes,-0.11878381860345272,Mixed-Use,1710,2171.0,5244,2506.0,0.3233548387096774,7750
015 Les Aubes,-0.11920996943334117,Mixed-Use,1873,2380.0,5320,2277.0,0.2997235750954324,7597
025 Nouveau Saint-Roch,-0.13857142857142857,Mixed-Use,2412,3188.0,8331,3227.0,0.27920055372901886,11558
061 Jean de Beins,-0.1450381679389313,Mixed-Use,224,300.0,905,411.0,0.3123100303951368,1316
046 P̬re Soulas,-0.15154146765089013,Mixed-Use,2931,3978.0,9572,3629.0,0.2749034164078479,13201
031 Voltaire,-0.15319707481717607,Mixed-Use,2258,3075.0,7868,3422.0,0.30310008857395926,11290
024 Cit̩ Mion,-0.15575123830489818,Mixed-Use,767,1050.0,2642,1027.0,0.27991278277459797,3669
022 Clemenceau,-0.16443801951572098,Mixed-Use,1156,1611.0,3966,1370.0,0.25674662668665665,5336
036 Occitanie,-0.17376564137335881,Mixed-Use,6702,9521.0,22408,7106.0,0.2407670935827065,29514
016 Antigone centre,-0.19018909290216499,Mixed-Use,2955,4343.0,12704,5098.0,0.2863723177171104,17802
007 Foch,-0.1950523311132255,Mixed-Use,2115,3140.0,8909,2928.0,0.24735997296612316,11837
011 Plan Cabanes,-0.1953560004738775,Mixed-Use,3396,5045.0,12866,4721.0,0.2684369136293853,17587
030 Charles Flahault,-0.19842485232990592,Mixed-Use,1832,2739.0,6606,2164.0,0.2467502850627138,8770
042 Marie Caizergues,-0.22373358348968106,Mixed-Use,1655,2609.0,5791,2187.0,0.274128854349461,7978
047 Place Viala,-0.233969202482188,Mixed-Use,3333,5369.0,10786,3935.0,0.26730521024386933,14721
006 Place Albert 1er - St Charles,-0.24990593724132742,Mixed-Use,4984,8305.0,22976,9376.0,0.2898120672601385,32352
035 Malbosc,-0.2546800174140183,Mixed-Use,856,1441.0,3074,1174.0,0.2763653483992467,4248
005 Corum,-0.2719374456993918,Mixed-Use,2933,5124.0,14559,6770.0,0.31740822354540765,21329
023 Les Arceaux,-0.2805954647741042,Mixed-Use,2078,3699.0,8310,3268.0,0.2822594575919848,11578
044 Celleneuve,-0.2823529411764706,Mixed-Use,732,1308.0,3093,1259.0,0.2892922794117647,4352
037 FacdesSciences,-0.28401138198877185,Mixed-Use,4655,8348.0,19745,5843.0,0.22834922619978115,25588
019 Louis Blanc,-0.2882977482207444,Mixed-Use,3050,5521.0,16359,6855.0,0.2952959421039028,23214
045 Jardin de la Lironde,-0.29141370338248046,Mixed-Use,817,1489.0,3045,979.0,0.2432902584493042,4024
008 Halles Castellane,-0.2942783945345858,Mixed-Use,2066,3789.0,11365,4100.0,0.2651147752990624,15465
057 Saint-Guilhem - Courreau,-0.29752215590522696,Mixed-Use,1942,3587.0,9462,3521.0,0.2712008010475237,12983
001 Rue Jules Ferry - Gare Saint-Roch,-0.3073094052921142,Commercial,2644,4990.0,12958,6089.0,0.31968288969391506,19047
038 Fac de Lettres,-0.3076354419685289,Commercial,3278,6191.0,14673,4212.0,0.22303415409054805,18885
018 Nombre d'Or,-0.3257053988002666,Commercial,3035,5967.0,13567,6045.0,0.3082296553130736,19612
060 Comedie Baudin,-0.3317307692307692,Commercial,278,554.0,1693,915.0,0.3508435582822086,2608
010 Rondelet,-0.33396093198399623,Commercial,1415,2834.0,6670,2971.0,0.3081630536251426,9641
034 Vert Bois,-0.33442824881954425,Commercial,1621,3250.0,6835,2187.0,0.24240744845932166,9022
050 Parvis Jules Ferry - Gare Saint-Roch,-0.342954804405621,Commercial,1730,3536.0,8381,3555.0,0.29783847184986595,11936
054 Providence - Ovalie,-0.3435326842837274,Commercial,472,966.0,1935,1065.0,0.355,3000
043 Sabines,-0.3556174558960074,Commercial,694,1460.0,3887,1983.0,0.33781942078364563,5870
017 M̩diath̬que Emile Zola,-0.35601993865030673,Commercial,3359,7073.0,17986,7400.0,0.2914992515559757,25386
049 Tonnelles,-0.3905002101723413,Commercial,725,1654.0,3710,1493.0,0.2869498366327119,5203
028 Saint-Denis,-0.3968253968253968,Commercial,931,2156.0,5812,2515.0,0.3020295424522637,8327
051 Pont de Lattes - Gare Saint-Roch,-0.4099119962945808,Commercial,637,1522.0,3826,1831.0,0.32366978964115256,5657
012 Boutonnet,-0.4280395429451791,Commercial,4455,11123.0,25408,8781.0,0.2568369943549095,34189
041 Eurom̩decine,-0.45154019534184825,Commercial,365,966.0,1781,619.0,0.2579166666666667,2400
048 H̫tel du D̩partement,-0.46397694524495675,Commercial,558,1524.0,3044,749.0,0.19746902188241497,3793
009 Observatoire,-0.4642931937172775,Commercial,1279,3496.0,9762,4804.0,0.32980914458327615,14566
058 Perols etang or,-0.47540983606557374,Commercial,16,45.0,79,56.0,0.4148148148148148,135
055 P̩rols Etang de l'Or,-0.4826453193141765,Commercial,4330,12409.0,24556,16086.0,0.3957974509128488,40642
002 Com̩die,-0.48453798578417795,Commercial,2792,8041.0,21746,9720.0,0.3089048496790186,31466
003 Esplanade,-0.5225568531038721,Commercial,1942,6193.0,14000,5693.0,0.2890874930178236,19693
059 Sud De France,-0.5785191212367778,Commercial,259,970.0,2203,926.0,0.29594119527005436,3129
