Station_Name,PageRank,Betweenness,Degree_Cent,S_Core,Clustering,Hub_Score,Auth_Score
003 Esplanade,0.04218462400432581,0.0,1.9855072463768115,54,0.07114858528077066,0.05119232751893607,0.054452698332590206
037 FacdesSciences,0.03925610756260651,0.0,1.9565217391304348,54,0.0632877624599502,0.04666985055223618,0.04626655010164488
006 Place Albert 1er - St Charles,0.03675500733856832,0.0,1.9710144927536233,54,0.06254908315128756,0.04422067269394746,0.04345879458916798
012 Boutonnet,0.03622391520938032,0.0,1.9710144927536233,54,0.05958960706460753,0.042054675121002874,0.042908820262199734
036 Occitanie,0.03150567963039517,0.005839481159174253,1.9420289855072463,54,0.052028570019949254,0.035150086489947364,0.03537463181610968
021 Port Marianne,0.0309072660319226,0.0,1.9565217391304348,54,0.05152693411379929,0.04222042432773799,0.039551210728372664
002 Comédie,0.028805121570075035,0.0,1.6521739130434783,54,0.07563760681826151,0.026622616361193556,0.026051755956098425
055 Pérols Etang de l'Or,0.028724921589440552,0.0,1.6666666666666667,54,0.03502069704005753,0.26292761998509523,0.26284920458357197
019 Louis Blanc,0.027258460775501266,0.0,1.9565217391304348,54,0.0507326898982377,0.028384470051278848,0.027331508942894208
005 Corum,0.025767706528768072,0.0,1.9565217391304348,54,0.04811948809954705,0.02417177012775669,0.02444484209681669
016 Antigone centre,0.023065277461895732,0.0,1.9565217391304348,54,0.04452310597899466,0.020611006826110077,0.020669774801336672
011 Plan Cabanes,0.021951734872251612,0.0,1.9710144927536233,54,0.045234015748694414,0.015331835934288536,0.015053479614482028
001 Rue Jules Ferry - Gare Saint-Roch,0.02154524085867147,0.0,1.9565217391304348,54,0.04836472833133402,0.017864972208258816,0.01792137924826789
008 Halles Castellane,0.021464487601497648,0.0,1.927536231884058,54,0.049169905928423206,0.015217304470213112,0.015927335217351832
017 Médiathèque Emile Zola,0.021067863961981736,0.0,1.6666666666666667,54,0.05512054072694577,0.018608172518764704,0.01836263369474102
029 Richter,0.020756373143428715,0.002131287297527707,1.927536231884058,54,0.04205674535279419,0.01960714823373389,0.017725563316949987
047 Place Viala,0.01959090649630371,0.007537555155841602,1.9565217391304348,54,0.03790135440786598,0.012636969112631782,0.012647596025470305
018 Nombre d'Or,0.019571327877058713,0.00397306172561927,1.9420289855072463,54,0.03716253294945566,0.015887259994209812,0.015428705482903694
004 Hôtel de Ville,0.018202629314119746,0.0,1.6521739130434783,54,0.04523710541726408,0.015997021698904004,0.014670653586954885
023 Les Arceaux,0.017599699599393167,0.0008383063370275647,1.9710144927536233,54,0.03707033024508018,0.011328977654726518,0.010981329191371634
009 Observatoire,0.017348517059897633,0.00788777978675677,1.9565217391304348,54,0.03729425970402538,0.011351267539919259,0.01103126210667925
031 Voltaire,0.016879745074701333,0.010521032084331316,1.927536231884058,54,0.033770889559775204,0.01288094956450095,0.012189976135043856
022 Clemenceau,0.016646338544098332,0.04614493030413746,1.9420289855072463,54,0.03598463529653833,0.010746886197542594,0.01025886748574035
057 Saint-Guilhem - Courreau,0.01633243774060948,0.0013991224509127323,1.9420289855072463,54,0.03735963739691198,0.010600009830883186,0.010978795833405509
007 Foch,0.015635138751802325,0.0,1.9420289855072463,54,0.038381519052701894,0.011544085639608693,0.01262448211554692
046 Père Soulas,0.015375597642983782,0.0,1.6376811594202898,54,0.041324418943183415,0.011185608675719104,0.011120086172618702
025 Nouveau Saint-Roch,0.015210569127578009,0.0,1.8985507246376812,54,0.031298940939442785,0.007181738031328351,0.007008298824211921
033 Garcia Lorca,0.013194001759356968,0.010379369138959933,1.9130434782608696,54,0.02365745147234158,0.0061205829836793076,0.005278426384124709
050 Parvis Jules Ferry - Gare Saint-Roch,0.013112437454191156,0.00021245213061069838,1.9565217391304348,54,0.029364361495438942,0.006481301370897001,0.0067753686226891255
042 Marie Caizergues,0.012932092382493703,0.003640111072975523,1.9130434782608696,54,0.030436367326926176,0.009414051398637456,0.00931538337795059
099 Smoove,0.012690764192185027,0.0,0.043478260869565216,1,0.0,8.865135736930855e-07,5.949626898292517e-09
028 Saint-Denis,0.01237963887923777,0.002097795639995128,1.9420289855072463,54,0.02793966140829215,0.00601009127859608,0.006014130413565283
015 Les Aubes,0.01218840142994052,0.00635934232481547,1.855072463768116,54,0.02514086120705485,0.0076230577507464155,0.007406584841857299
010 Rondelet,0.01201822678313853,0.00930556963165659,1.9130434782608696,54,0.024400204663369222,0.00526509145900208,0.005300297386120424
038 Fac de Lettres,0.011996051771372597,0.009671731011245075,1.927536231884058,54,0.025846169378828235,0.009256990714240848,0.00999335202244651
039 Aiguelongue,0.011894154131399817,0.004154826181680401,1.8695652173913044,54,0.024534140083617876,0.008215650800220332,0.00768383863973599
030 Charles Flahault,0.011621716920111543,0.015208328779300647,1.8985507246376812,54,0.028284924946342365,0.00845933854193789,0.008682996449912678
026 Renouvier,0.011323953580322167,0.03723087441118132,1.927536231884058,54,0.02631539484669793,0.006082386886949711,0.0061213248347791955
013 Emile Combes,0.010407109130611094,0.010849528656434028,1.8695652173913044,54,0.0215642602500905,0.005261984063577921,0.005711230487205027
055 PÃ©rols Etang de l'Or,0.010213534046259562,0.06690066706051362,1.318840579710145,49,0.007214127264306624,0.0007471849307234587,0.0006976808683522282
020 Gambetta,0.010137882614843052,0.0011118215402102871,1.9420289855072463,54,0.02539776644436935,0.004831293514083466,0.0055576007324731206
056 Albert 1er - Cathédrale,0.010051472988786274,0.0,1.6231884057971016,54,0.03422057858438268,0.007542605047124381,0.007721826892432357
