method,modularity_Q,n_communities,ARI_vs_admin
louvain_r1.0,0.4352016493181746,13,0.0813779899516352
greedy_modularity,0.4349570087155385,14,0.06753389487641305
louvain_r1.5,0.42259662584041335,26,0.02171965162538977
louvain_r2.0,0.40727570665830815,41,0.018803901971948322
louvain_r0.5,0.40121969879683816,17,0.14204304796991687
label_propagation,3.3603559760066244e-05,2,0.0
