rang,city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD,revenu_median_uc,taux_chomage,part_cadres,part_diplomes_sup,part_sans_voiture,taux_pauvrete,part_velo,fub_score_2023,fub_rank_2023,emp_part_velo_2019,infra_cyclable_km,infra_cyclable_km_per_km2,gtfs_stops_within_300m_pct,eco_avg_daily_bike_counts,baac_accidents_cyclistes,baac_accidents_cyclistes_per_100k,fragilite_sociale,niveau_socio,quadrant,desert_score,IMD_attendu,IES,cluster,typology,region,department,quadrant_simple,IMD_bs_mean,IMD_ci95_low,IMD_ci95_high,rang_ci95_low,rang_ci95_high,pct_top10
38,Calais,89,0,0,89,2,2,1011,0.7762,1,0.51,Vel’in + Velect'in,72000.0,1.236111111111111,14.041666666666666,0.1608,0.1608,0.7762,0.412109650826833,0.253250946511326,0.8047382459684076,0.5442319840842296,0.3333333333333333,0.353,16000.0,18.0,12.0,28.0,20.0,28.0,1.5,2.68,,2.0,77.75,3.161,,,7.0,9.7,0.37,0.4674185463659147,Désert de Mobilité Sociale ⚠,40.62333333333334,0.362357819943442,0.9742,0,C0 — Villes Fragiles,Hauts-de-France,Pas-de-Calais,Désert,0.3531,0.2861,0.4412,22.0,44.0,0.0
39,Les Sables-d'Olonne,16,0,0,16,1,1,198,0.858,1,0.72,Les Petites Reines,,,,0.2263,0.2263,0.858,0.5423242908253617,0.3332708653923711,,,0.3333333333333333,0.352,20000.0,10.5,16.0,38.0,20.0,18.0,2.0,,,,,,,,,,0.2895,0.607844611528822,Sous-Investissement,38.82666666666667,0.4248856681554315,0.8285,0,C0 — Villes Fragiles,Pays de la Loire,Vendée,Sous-investie,0.3515,0.2964,0.4581,27.0,42.0,0.0
40,Montpellier,53,0,0,53,1,1,667,0.728,1,0.544,Velomagg,,,,0.2916,0.2916,0.728,0.4343764516025845,0.266934412455218,,,0.3333333333333333,0.3516,19200.0,15.2,20.0,45.0,28.0,18.5,4.5,,,,,,,,,,0.2981,0.6659022556390977,Sous-Investissement,39.468,0.4123800985130336,0.8526,0,C0 — Villes Fragiles,Occitanie,Hérault,Sous-investie,0.3512,0.3158,0.4298,30.0,47.0,0.0
41,Soissons,28,0,0,28,1,1,351,0.692,1,0.59,Cyclovis,28000.0,1.0,12.535714285714285,0.2066,0.2066,0.692,0.4637340162321401,0.2849753173813356,0.6931471805599453,0.4687646787367158,0.3333333333333333,0.3483,17500.0,15.0,12.0,30.0,20.0,25.0,1.0,,,1.8,23.37,1.399,,,0.0,0.0,0.346,0.4984711779448622,Désert de Mobilité Sociale ⚠,39.739,0.3858057630229381,0.9028,0,C0 — Villes Fragiles,Hauts-de-France,Aisne,Désert,0.3483,0.2991,0.4168,26.0,55.0,0.0
42,Reims,63,0,0,63,1,1,691,0.7718,1,1.0,Zebullo,181000.0,0.3480662983425414,3.81767955801105,0.2829,0.2829,0.7718,0.6931471805599453,0.4259550321043671,0.2986711940273761,0.2019866923545051,0.3333333333333333,0.3434,18500.0,13.0,16.0,38.0,25.0,22.0,1.5,3.02,,2.3,191.1,4.083,,2000.0,37.0,20.4,0.317,0.5867919799498746,Désert de Mobilité Sociale ⚠,39.05533333333334,0.4014377250759354,0.8554,0,C0 — Villes Fragiles,Grand Est,Marne,Désert,0.3428,0.296,0.423,29.0,54.0,0.0
43,Auxerre,55,0,0,55,1,1,690,0.8408,1,0.16,AuxR_M le vélo,35000.0,1.5714285714285714,19.714285714285715,0.0464,0.0464,0.8408,0.1484200051182733,0.0912075383384135,0.9444616088408514,0.6387247255190341,0.3333333333333333,0.3393,18500.0,13.0,14.0,34.0,20.0,22.0,1.5,2.8,,2.8,4.14,0.179,,1200.0,0.0,0.0,0.321,0.5496491228070175,Désert de Mobilité Sociale ⚠,39.069,0.4014377250759354,0.8452,0,C0 — Villes Fragiles,Bourgogne-Franche-Comté,Yonne,Désert,0.3397,0.2382,0.4533,20.0,55.0,0.1
44,Agen,16,0,0,16,1,1,175,0.8289,1,0.63,Tempovelo,34000.0,0.4705882352941176,5.147058823529412,0.2276,0.2276,0.8289,0.4885800148186709,0.3002437602494741,0.3856624808119847,0.260817549272279,0.3333333333333333,0.3377,18500.0,13.0,14.0,32.0,18.0,22.0,1.0,,,1.5,54.53,0.863,,,6.0,17.6,0.321,0.5396491228070176,Désert de Mobilité Sociale ⚠,39.074333333333335,0.4014377250759354,0.8412,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Lot-et-Garonne,Désert,0.3372,0.2907,0.4307,37.0,49.0,0.0
45,Cholet,16,0,0,16,1,1,238,0.8535,1,0.7,Choletbus 2 Roues,57000.0,0.2807017543859649,4.175438596491228,0.2659,0.2659,0.8535,0.5306282510621704,0.3260833774640504,0.2474081733138409,0.167318307183492,0.3333333333333333,0.3367,20000.0,8.0,15.0,36.0,15.0,16.0,1.5,2.88,,3.3,71.44,0.816,,1800.0,1.0,1.8,0.2739999999999999,0.5892731829573934,Sous-Investissement,38.87766666666667,0.4248856681554315,0.7924,0,C0 — Villes Fragiles,Pays de la Loire,Maine-et-Loire,Sous-investie,0.336,0.2815,0.4335,32.0,56.0,0.0
46,Valence,68,0,0,68,1,1,769,0.8537,1,0.25,Libélo,68000.0,1.0,11.308823529411764,0.1072,0.1072,0.8537,0.2231435513142097,0.1371268919930441,0.6931471805599453,0.4687646787367158,0.3333333333333333,0.3336,18000.0,15.0,16.0,35.0,22.0,25.0,1.5,2.68,,1.8,117.26,3.195,,1400.0,5.0,7.4,0.3379999999999999,0.5647744360902256,Désert de Mobilité Sociale ⚠,39.788,0.3936217440494368,0.8475,0,C0 — Villes Fragiles,Auvergne-Rhône-Alpes,Drôme,Désert,0.3336,0.2553,0.4381,27.0,50.0,0.0
47,Caen,75,0,0,75,1,1,960,0.8369,1,0.4,Twisto Vélolib,106000.0,0.7075471698113207,9.056603773584904,0.1455,0.1455,0.8369,0.3364722366212129,0.2067699997516214,0.5350579371537586,0.3618513773839411,0.3333333333333333,0.3304,19500.0,12.0,18.0,43.0,26.0,20.0,2.5,3.1,,3.5,124.33,4.914,,2600.0,8.0,7.5,0.3,0.6429699248120301,Sous-Investissement,38.89866666666666,0.4170696871289328,0.7922,0,C0 — Villes Fragiles,Normandie,Calvados,Sous-investie,0.3301,0.2665,0.4288,38.0,49.0,0.0
48,Brive-la-Gaillarde,26,0,0,26,1,1,315,0.7735,1,0.54,Vélibéo,49000.0,0.5306122448979592,6.428571428571429,0.1922,0.1922,0.7735,0.4317824164255378,0.2653403176249885,0.4256678154256839,0.2878725360830112,0.3333333333333333,0.3288,19000.0,11.5,15.0,35.0,18.0,20.0,1.0,2.52,,1.3,47.74,0.693,,,8.0,16.3,0.3045,0.5702380952380952,Sous-Investissement,38.904,0.4092537061024341,0.8034,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Corrèze,Sous-investie,0.3285,0.2786,0.4137,41.0,54.0,0.0
49,Chantrerie,16,0,0,16,1,1,224,0.827,1,0.21,Naolib Micromob',,,,0.1825,0.1825,0.827,0.1906203596086497,0.1171406357467342,,,0.3333333333333333,0.3279,21500.0,9.0,22.0,50.0,25.0,15.0,3.0,,,,,,,,,,0.258,0.7403258145363409,Sous-Investissement,38.907,0.4483336112349275,0.7314,1,C1 — Villes Moyennes,Pays de la Loire,Loire-Atlantique,Sous-investie,0.3275,0.2604,0.435,36.0,53.0,0.0
50,Avignon,29,0,0,29,1,1,520,0.8289,1,0.71,Vélopop,94000.0,0.3085106382978723,5.531914893617022,0.215,0.215,0.8289,0.5364933705145685,0.3296876295113919,0.2688895731024135,0.1818458444124115,0.3333333333333333,0.3276,17500.0,15.5,15.0,36.0,22.0,26.0,1.5,2.72,,1.5,179.5,2.774,,1500.0,6.0,6.4,0.3465,0.5541854636591479,Désert de Mobilité Sociale ⚠,40.008,0.3858057630229381,0.8491,0,C0 — Villes Fragiles,Provence-Alpes-Côte d'Azur,Vaucluse,Désert,0.327,0.2724,0.4227,37.0,57.0,0.0
51,Laon,19,0,0,19,1,1,176,0.7664,1,0.41,Vélo'Cité,25000.0,0.76,7.04,0.1427,0.1427,0.7664,0.3435897043900769,0.2111438489095147,0.5653138090500605,0.3823129538963231,0.3333333333333333,0.3276,17500.0,14.0,12.0,30.0,20.0,24.0,1.0,,,1.5,10.41,0.441,,,0.0,0.0,0.3379999999999999,0.4984711779448622,Désert de Mobilité Sociale ⚠,39.508,0.3858057630229381,0.8491,0,C0 — Villes Fragiles,Hauts-de-France,Aisne,Désert,0.3275,0.2655,0.4127,36.0,54.0,0.0
52,Pointe-à-Pitre,14,0,0,14,1,1,180,0.8198,1,0.25,Karu'Vélo,16000.0,0.875,11.25,0.0998,0.0998,0.8198,0.2231435513142097,0.1371268919930441,0.6286086594223741,0.425118278699776,0.3333333333333333,0.3247,14000.0,23.0,14.0,33.0,30.0,38.0,0.5,,,,,,,,,,0.4309999999999999,0.4814912280701754,Désert de Mobilité Sociale ⚠,42.71766666666667,0.3310938958374473,0.9807,0,C0 — Villes Fragiles,Guadeloupe,Guadeloupe,Désert,0.3247,0.2492,0.4238,32.0,53.0,0.0
53,Royan,8,0,0,8,1,1,80,1.0,1,0.32,VéloModalis - TERRA,19000.0,0.4210526315789474,4.2105263157894735,0.1291,0.1291,1.0,0.2776317365982795,0.1706111466548539,0.3513978868378886,0.237644936244645,0.3333333333333333,0.322,20000.0,11.5,15.0,38.0,18.0,18.0,1.5,,,2.5,29.77,1.071,,,2.0,10.5,0.2945,0.5992731829573934,Sous-Investissement,38.92666666666667,0.4248856681554315,0.7579,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Charente-Maritime,Sous-investie,0.3215,0.2464,0.4519,30.0,57.0,0.0
54,Annecy,80,0,0,80,1,1,874,0.9089,1,0.16,Vélonecy,130000.0,0.6153846153846154,6.723076923076923,0.0581,0.0581,0.9089,0.1484200051182733,0.0912075383384135,0.4795730802618863,0.3243278299395729,0.3333333333333333,0.3089,22500.0,7.5,22.0,48.0,22.0,14.0,2.5,3.38,,3.1,127.89,1.917,,3500.0,14.0,10.8,0.2485,0.7443609022556391,Sous-Investissement,38.970333333333336,0.4639655732879249,0.6658,1,C1 — Villes Moyennes,Auvergne-Rhône-Alpes,Haute-Savoie,Sous-investie,0.3087,0.2225,0.427,40.0,58.0,0.0
55,Ardenne Métropole,34,0,0,34,1,1,308,0.8405,1,0.13,Cycl'AM,52000.0,0.6538461538461539,5.923076923076923,0.0686,0.0686,0.8405,0.1222176327242492,0.0751055722807994,0.5031035776720805,0.3402411400825849,0.3333333333333333,0.3072,17500.0,14.5,13.0,32.0,22.0,24.0,1.0,,,1.3,68.68,1.487,,,1.0,1.9,0.3375,0.5170426065162907,Désert de Mobilité Sociale ⚠,39.676,0.3858057630229381,0.7963,0,C0 — Villes Fragiles,Grand Est,Ardennes,Désert,0.307,0.2246,0.4125,44.0,57.0,0.0
56,Saint-Étienne,97,0,0,97,1,1,1790,0.7724,1,0.24,Vélivert,175000.0,0.5542857142857143,10.22857142857143,0.0785,0.0785,0.7724,0.2151113796169455,0.1321909360386217,0.4410160923724832,0.2982523375363136,0.3333333333333333,0.3023,15500.0,16.5,14.0,30.0,22.0,27.0,0.8,2.52,,1.2,84.14,1.053,,1200.0,8.0,4.6,0.3565,0.4875438596491228,Désert de Mobilité Sociale ⚠,40.39233333333333,0.3545418389169433,0.8526,0,C0 — Villes Fragiles,Auvergne-Rhône-Alpes,Loire,Désert,0.3021,0.2287,0.3968,51.0,58.0,0.0
57,Cherbourg-en-Cotentin,49,0,0,49,1,1,496,0.7002,1,0.17,CapCotentin,79000.0,0.620253164556962,6.278481012658228,0.0837,0.0837,0.7002,0.1570037488096647,0.0964824480865692,0.4825824114525956,0.326362993911077,0.3333333333333333,0.2997,18500.0,12.0,14.0,33.0,20.0,20.0,1.5,2.78,,2.3,67.53,0.808,,,4.0,5.1,0.308,0.5446491228070176,Désert de Mobilité Sociale ⚠,39.001000000000005,0.4014377250759354,0.7466,0,C0 — Villes Fragiles,Normandie,Manche,Désert,0.2997,0.2278,0.3826,49.0,60.0,0.0
58,La Réunion,31,0,0,31,1,1,448,0.7958,1,0.19,Altervelo Libre-service,130000.0,0.2384615384615384,3.4461538461538463,0.1002,0.1002,0.7958,0.173953307123438,0.1068983451113047,0.2138699145288805,0.1446369033696289,0.3333333333333333,0.2884,16000.0,22.0,11.0,28.0,15.0,35.0,0.5,,,,,,,,,,0.419,0.4588471177944861,Désert de Mobilité Sociale ⚠,42.33866666666667,0.362357819943442,0.7959,0,C0 — Villes Fragiles,La Réunion,La Réunion,Désert,0.2879,0.2157,0.3918,51.0,59.0,0.0
59,Tarbes,13,0,0,13,1,1,166,0.722,1,0.07,TLP Mobilites,41000.0,0.3170731707317073,4.048780487804878,0.0694,0.0694,0.722,0.0676586484738148,0.0415778100107405,0.2754119798599665,0.1862568468575554,0.3333333333333333,0.2792,18000.0,13.5,14.0,34.0,20.0,23.0,1.0,2.58,,1.5,27.02,1.103,,,3.0,7.3,0.3275,0.5426315789473684,Désert de Mobilité Sociale ⚠,39.46933333333334,0.3936217440494368,0.7093,0,C0 — Villes Fragiles,Occitanie,Hautes-Pyrénées,Désert,0.2789,0.2027,0.3715,58.0,61.0,0.0
60,Saint-Nazaire,5,0,0,5,1,1,148,0.9892,1,0.05,VélYcéo,72000.0,0.0694444444444444,2.055555555555556,0.0264,0.0264,0.9892,0.048790164169432,0.0299826884217852,0.0671393028376285,0.0454052683296836,0.3333333333333333,0.2725,19000.0,12.0,16.0,36.0,18.0,20.0,2.0,,,,,,,,,,0.304,0.5838095238095238,Sous-Investissement,39.09166666666667,0.4092537061024341,0.6658,0,C0 — Villes Fragiles,Pays de la Loire,Loire-Atlantique,Sous-investie,0.2717,0.1723,0.416,47.0,60.0,0.0
61,Châtellerault,0,13,0,13,1,0,0,0.9793,1,0.02,—,32000.0,0.0,0.0,0.0097,0.0097,0.9793,0.0198026272961797,0.01216917414117,0.0,0.0,0.3333333333333333,0.2624,17500.0,14.5,13.0,32.0,20.0,25.0,1.5,,,,,,,,,,0.3425,0.5170426065162907,Désert de Mobilité Sociale ⚠,39.92533333333333,0.3858057630229381,0.6801,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Vienne,Désert,0.2616,0.1568,0.4079,52.0,62.0,0.0
62,Montreuil-Bellay,0,28,0,28,1,0,0,0.7209,1,0.08,—,4000.0,0.0,0.0,0.007,0.007,0.7209,0.0769610411361283,0.0472943462331374,0.0,0.0,0.3333333333333333,0.2459,18500.0,11.0,12.0,30.0,16.0,18.0,1.5,,,,,,,,,,0.299,0.5125062656641605,Désert de Mobilité Sociale ⚠,39.18033333333333,0.4014377250759354,0.6125,0,C0 — Villes Fragiles,Pays de la Loire,Maine-et-Loire,Désert,0.2454,0.1514,0.3506,61.0,62.0,0.0
