system_id,city,system_name,n_stations,n_cap_known,mean_capacity,median_capacity,total_capacity,gini_capacity,E_ict,area_bbox_km2,density_st_km2
twisto_velolib_caen,Caen,Twisto Vélolib,75,75,12.8,10.0,960,0.1631,0.8369,188.6,0.4
donkey_brest,Brest,Donkey Republic Brest,75,75,5.373333333333333,4.0,403,0.3331,0.6669,10.9,6.89
dott-bourgoin-jallieu,Bourgoin-Jallieu,Dott Bourgoin Jallieu,69,0,,,0,,,17.4,3.95
bird-larochesuryon,La Roche-sur-Yon,Bird Larochesuryon,69,0,,,0,,,22.5,3.07
libelo,Valence,Libélo,68,68,11.308823529411764,10.0,769,0.1463,0.8537,272.1,0.25
calivelo,Libourne,CaliVélo,66,66,10.984848484848484,10.0,725,0.2272,0.7728,676.4,0.1
bird-sarreguemines,Sarreguemines,Bird Sarreguemines,65,0,,,0,,,12.7,5.11
bird-montlucon,Montluçon,Bird Montlucon,63,0,,,0,,,19.8,3.18
bird-draguignan,Draguignan,Bird Draguignan,63,0,,,0,,,22.3,2.82
zebullo,Reims,Zebullo,63,63,10.968253968253968,10.0,691,0.2282,0.7718,62.9,1.0
pony_Beauvais,Beauvais,Pony Beauvais,62,0,,,0,,,22.3,2.79
nextbike_af,Mulhouse,VéloCité Mulhouse,60,60,16.583333333333332,15.5,995,0.156,0.844,71.8,0.84
le_velo_star,Rennes,LE vélo STAR,57,57,24.73684210526316,24.0,1410,0.1426,0.8574,19.7,2.9
citiz_bfc,Besançon,Citiz BFC,56,55,2.2181818181818183,2.0,122,0.2924,0.7076,14785.0,0.0
citiz_developpement,France,Citiz Développement,55,55,2.036363636363636,2.0,112,0.2123,0.7877,242026.8,0.0
citiz_rennes_metropole,Rennes,Citiz Rennes Métropole,55,55,2.618181818181818,2.0,144,0.2361,0.7639,91.2,0.6
auxrmlevelo,Auxerre,AuxR_M le vélo,55,54,12.77777777777778,10.0,690,0.1592,0.8408,347.7,0.16
Optymo_Belfort_ALS,Belfort,Optymo Belfort Auto libre-service,52,0,,,0,,,21.6,2.4
grand-est,Grand Est,Velo Fluo Grand-Est,52,27,7.407407407407407,5.0,200,0.2093,0.7907,67051.2,0.0
tanlib,Niort,Vélo Tanlib,51,51,13.96078431372549,14.0,712,0.2236,0.7764,81.9,0.62
bird-gap,Gap,Bird Gap,50,0,,,0,,,17.1,2.92
nextbike_ah,FR,VélO2,49,49,15.408163265306122,15.0,755,0.1507,0.8493,59.4,0.83
capcotentin,Cherbourg-en-Cotentin,CapCotentin,49,49,10.122448979591836,8.0,496,0.2998,0.7002,292.0,0.17
bird-vichy,Vichy,Bird Vichy,46,0,,,0,,,6.1,7.57
amiens,Amiens,Velam,45,45,18.88888888888889,20.0,850,0.1687,0.8313,16.2,2.78
beb,Bourg-en-Bresse,Rubis'Velo,45,45,11.933333333333334,10.0,537,0.2041,0.7959,39.5,1.14
cergy,Cergy-Pontoise,VélO2,45,45,19.4,20.0,873,0.1211,0.8789,28.6,1.58
citiz_nantes,Nantes,Citiz Nantes,41,39,1.7692307692307692,1.0,69,0.2921,0.7079,103.4,0.4
donkey_valenciennes,Valenciennes,Donkey Republic Valenciennes,40,40,4.725,4.0,189,0.2107,0.7893,8.6,4.64
idecycle_pau,PAU,IDEcycle (Pau),40,40,10.5,10.0,420,0.0452,0.9548,55.3,0.72
velozef,Brest,VéloZef,40,40,10.0,10.0,400,0.0,1.0,114.0,0.35
semo,Louviers,Semo Vélo,40,40,9.75,10.0,390,0.2595,0.7405,247.9,0.16
vertuose,Longwy,Vertuose,39,39,11.538461538461538,12.0,450,0.1899,0.8101,155.3,0.25
nextbike_ae,"Strasbourg, FR",Vélhop - Strasbourg,39,39,13.23076923076923,10.0,516,0.2731,0.7269,182.6,0.21
nancy,Nancy,VélOstan'lib,37,37,18.62162162162162,17.0,689,0.1291,0.8709,14.3,2.58
cyclam,Ardenne Métropole,Cycl'AM,34,34,9.058823529411764,8.0,308,0.1595,0.8405,262.2,0.13
besancon,Besançon,VéloCité,33,33,14.393939393939394,12.0,475,0.2156,0.7844,332.8,0.1
Optymo_FR_Belfort,Belfort,Optymo Belfort,32,32,17.5,20.0,560,0.2533,0.7467,31.8,1.01
bird-ajaccio,Ajaccio,Bird Ajaccio,32,0,,,0,,,43.7,0.73
altervelo,"Saint-Pierre, L'Étang-Salé & Saint-Louis",Altervelo Libre-service,31,31,14.451612903225806,16.0,448,0.2042,0.7958,164.0,0.19
impulsyon,La Roche-sur-Yon,Impulsyon,31,31,7.290322580645161,6.0,226,0.1696,0.8304,15.1,2.06
lemarcel,Troyes,Le Marcel,30,30,13.533333333333331,10.0,406,0.2563,0.7437,30.3,0.99
velopop,Avignon,Vélopop,29,29,17.93103448275862,20.0,520,0.1711,0.8289,41.0,0.71
ogalo,Montreuil-Bellay,Ogalo,28,28,7.357142857142857,8.0,206,0.2791,0.7209,367.3,0.08
cyclovis,Soissons,Cyclovis,28,28,12.535714285714286,12.0,351,0.308,0.692,47.2,0.59
citiz_angers,Angers,Citiz Angers,26,26,2.576923076923077,2.0,67,0.3347,0.6653,40.1,0.65
velibeo,Brive-la-Gaillarde,Vélibéo,26,26,12.115384615384617,12.0,315,0.2265,0.7735,48.3,0.54
knot_strasbourg,Strasbourg,Knot Strasbourg,25,25,7.84,8.0,196,0.1567,0.8433,62.7,0.4
citiz_la_rochelle,La Rochelle,Citiz La Rochelle,24,24,1.9583333333333333,2.0,47,0.0204,0.9796,40.5,0.59
citiz_grand_poitiers,Poitiers,Citiz Grand Poitiers,22,22,1.5909090909090908,1.5,35,0.2091,0.7909,224.2,0.1
velocite,Laon,Vélo'Cité,19,18,9.77777777777778,10.0,176,0.2336,0.7664,45.9,0.41
tempovelo,Agen,Tempovelo,16,16,10.9375,10.0,175,0.1711,0.8289,25.6,0.63
petitesreines,Les Sables-d'Olonne,Les Petites Reines,16,16,12.375,10.0,198,0.142,0.858,22.1,0.72
chantrerie,Chantrerie,Naolib Micromob',16,16,14.0,12.0,224,0.173,0.827,76.0,0.21
