system_id,city,system_name,n_stations,mean_cap,total_cap,lat_centroid,lon_centroid
bird-vichy,Vichy,Bird Vichy,46,0.0,0,46.12772,3.42563
cergy,Cergy-Pontoise,VélO2,45,19.4,873,49.03771,2.06123
amiens,Amiens,Velam,45,18.9,850,49.89012,2.29399
beb,Bourg-en-Bresse,Rubis'Velo,45,11.9,537,46.20549,5.22722
citiz_nantes,Nantes,Citiz Nantes,41,1.7,69,47.22108,-1.55943
semo,Louviers,Semo Vélo,40,9.8,390,49.23579,1.22252
donkey_valenciennes,Valenciennes,Donkey Republic Valenciennes,40,4.7,189,50.34288,3.51793
idecycle_pau,PAU,IDEcycle (Pau),40,10.5,420,43.30505,-0.37182
velozef,Brest,VéloZef,40,10.0,400,48.39343,-4.4887
nextbike_ae,"Strasbourg, FR",Vélhop - Strasbourg,39,13.2,516,48.58568,7.73814
vertuose,Longwy,Vertuose,39,11.5,450,49.4997,5.7864
nancy,Nancy,VélOstan'lib,37,18.6,689,48.68811,6.17877
cyclam,Ardenne Métropole,Cycl'AM,34,9.1,308,49.74032,4.79163
besancon,Besançon,VéloCité,33,14.4,475,47.23555,6.01396
Optymo_FR_Belfort,Belfort,Optymo Belfort,32,17.5,560,47.64099,6.85146
bird-ajaccio,Ajaccio,Bird Ajaccio,32,0.0,0,41.92497,8.72867
impulsyon,La Roche-sur-Yon,Impulsyon,31,7.3,226,46.67147,-1.42677
altervelo,"Saint-Pierre, L'Étang-Salé & Saint-Louis",Altervelo Libre-service,31,14.5,448,-21.30875,55.44769
lemarcel,Troyes,Le Marcel,30,13.5,406,48.2946,4.06937
velopop,Avignon,Vélopop,29,17.9,520,43.9434,4.82259
cyclovis,Soissons,Cyclovis,28,12.5,351,49.37722,3.32977
citiz_angers,Angers,Citiz Angers,26,2.6,67,47.47084,-0.55475
velibeo,Brive-la-Gaillarde,Vélibéo,26,12.1,315,45.15836,1.52682
knot_strasbourg,Strasbourg,Knot Strasbourg,25,7.8,196,48.58098,7.74797
citiz_la_rochelle,La Rochelle,Citiz La Rochelle,24,2.0,47,46.15975,-1.14988
citiz_grand_poitiers,Poitiers,Citiz Grand Poitiers,22,1.6,35,46.58355,0.36294
ogalo,Saumur,Ogalo Cyclette,22,9.0,198,47.25783,-0.07396
velocite,Laon,Vélo'Cité,19,9.3,176,49.56081,3.62528
choletbus,Cholet,Choletbus 2 Roues,16,14.9,238,47.05719,-0.8774
tempovelo,Agen,Tempovelo,16,10.9,175,44.20112,0.62755
petitesreines,Les Sables-d'Olonne,Les Petites Reines,16,12.4,198,46.49781,-1.7784
chantrerie,Chantrerie,Naolib Micromob',16,14.0,224,47.25889,-1.57911
ti_velo,Landerneau,Ti Vélo,14,12.5,175,48.45232,-4.25776
labaule,La Baule,La Baule,14,18.6,260,47.28167,-2.37716
karu,Pointe-à-Pitre,Karu'Vélo,14,12.9,180,16.24158,-61.53896
tlpmobilites,Tarbes,TLP Mobilites,13,12.8,166,43.17037,0.01479
mp_CHATELLERAULT,Châtellerault,CHATELLERAULT,13,6.8,89,46.82213,0.55237
saintbrieuc,Saint-Brieuc,Vélo'Baie,12,10.8,130,48.50668,-2.75504
auray-quiberon,Auray,AQTA,11,15.5,170,47.67194,-2.98821
cyclolibre,Carcassonne,Cyclolibre,10,8.6,86,43.21547,2.35577
auto-en-velay,Allègre,Auto-en-Velay,9,2.3,21,45.16857,3.8372
calais,Calais,Velect'in,9,16.7,150,50.95174,1.84198
aupa,Bayonne,Citiz AUPA,8,1.9,15,43.49387,-1.50388
dott-ol-vallee,Ol-Vallee,Dott Ol-Vallee,8,0.0,0,45.76665,4.98069
velo-modalis,Royan,VéloModalis - TERRA,8,10.0,80,45.68251,-0.28899
vivelo,Vichy,Vivélo,8,8.8,70,46.12328,3.42604
ogalo,Montreuil-Bellay,Ogalo,6,1.3,8,47.25439,-0.14404
velodaqui,Argelès-sur-Mer,Vélo d'Aqui,6,10.0,60,42.55071,3.04318
mp_LASCAUX,Lascaux,VELO VEZERE LASCAUX,5,4.6,23,44.99544,1.03414
velyceo,Saint-Nazaire,VélYcéo,5,29.6,148,47.29042,-2.25636
mp_ARBRESLE,Courzieu,PAYS DE L'ARBRESLE - VEL'PAR,4,5.0,20,45.78636,4.62866
perivelo,Périgueux,Périvélo,3,20.0,60,45.18089,0.73304
mp_OSSAU,Arundy,VALLEE D'OSSAU,3,7.0,21,43.07877,-0.43729
